Date,Review,Rate,Company
2023-02-26,From the phone call to the email correspondence everything was smooth and easy.,5,LendingClub
2023-02-28,Super fast and the easiest loan I ever applied for . Great interest rates for a signature loan. Will use them again .,5,LendingClub
2023-02-21,"I was never informed about the $300 processing fee. One of my credit cards still has a balance because of the $300 experience. Had I known about it, I would have changed the amount of the loan. Very disappointing experience.",2,LendingClub
2023-02-21,"Date of experience: February 21, 2023",5,LendingClub
2023-02-27,"Would love to be able to write a review about their service. Unfortunately, I will not get to do that since they denied me an account without explaining to me the reason why. Terrible.",1,LendingClub
2023-02-20,"I signed up for Experian credit reviews and I regularly get emails updating me on my FICO score.  I recently received an email stating I could apply for a loan to consolidate credit cards or a personal loan.  I initially scoffed at the idea thinking they would not give me a loan but then I thought my credit rating was good so why not try.  I was directed to Lending Club and the online application process was so easy I was very surprised.  It literally took 5 to 10 minutes, and they gave me an approval, after two days of review my loan was funded directly to my bank.  I was ecstatic at the ease of the transaction, and I never had to speak with a representative asking a lot of unnecessary questions.  I would recommend Lending Club to anyone needing financial assistance as this was the easiest loan experience I have ever had.",5,LendingClub
2023-02-13,The process was quick and easy.,5,LendingClub
2023-02-28,This was the easiest process and my creditors were paid within a week of getting my loan finalized. It is so easy and requires no phone calls it was completely on line.,5,LendingClub
2023-02-18,Found Lending Club through Credit Karma and I'm very pleased with my experience so far. It was quick and easy to apply and my loan was funded fast. You save a bit if they pay the credit cards directly. Repaying debt isn't fun but I'm thankful for this loan to do it in half the time with half the interest.,5,LendingClub
2023-02-13,I needed financial assistance and lending club made it easy and expedited the process seamlessly. Thank you for the support and I look forward to utilizing your loan services in the future.,5,LendingClub
2023-02-24,"I was very pleased to get this loan, such fast service! And approval!But I noticed one of my credit cards was not paid. The other 2 had already posted a few days earlier. When I called LendingClub to find out what happened. The customer service representative told me it went to an entirely different company. He said they would not process the payment,it was still pending at the other company. He said they would release the monies when returned by the wrong company. Then they will automatically deposit it into my checking account. I can pay the bill myself. I have a copy of the list I gave to pay off in an email! I don’t understand how they got this confused. I really hope the rest of the money is released soon. And they get it together from now on. Disappointed ☹️",2,LendingClub
2023-02-14,"Date of experience: February 14, 2023",5,LendingClub
2023-02-24,"Process was easy, and straight forward. I was happy about this fact. But the actual funding following the approval was extremely SLOW. I think it was at least two weeks. So slow that as I was refinancing credit card debt, and I had anticipated an approximate ten days in advance of payments due. I missed the target date by over a week. Consequently, I was required to pay more interest on that balance. The very purpose for applying for this loan. This cost I had not anticipated and the additional interest increased my expense for this transaction. I would have been better served to get the loan from my credit union or local bank.",2,LendingClub
2023-02-24,Be able to speak with a person in order to move the loan process forward with out any unnecessary delay.,5,LendingClub
2023-02-24,"Loan application process was super easy. I received a call the next day to verify who I was. Then the day after that, I was approved. I received my money in my bank two days later and then my credit cards were paid off three days after that. I’m super happy with the process and excited to pay off debt with a better rate.",5,LendingClub
2023-02-20,What made this experiece so good was the ease of going through the process and how quick the money made it to my account.,5,LendingClub
2023-02-16,"Everything was handled well, everyone I spoke with was pleasant and kept me informed. Money was in my account within a few days.",5,LendingClub
2023-02-16,"It took just a few minutes to get an approval after entering my information. So convenient and user-friendly. And it took a couple of days only to see the funds in my bank. Awesome and hassle-free experience.I also received a call from one of their sales reps who was very helpful, respectful, and friendly. A breath of fresh air.",5,LendingClub
2023-02-09,"You approved my loaned with no problem, and I received it in a timely manner.",5,LendingClub
2023-02-13,"The app was easy to use and was approved immediately, The loan was in my account with in two days,with a low interest rate.I have already referred two other people for there services and would definitely use it again. It was so easy and convenient. Thank you lending club.",5,LendingClub
2023-02-22,I like that it's all done online. So no trying to juggle your work schedule to make an appointment. They are fast with their email communications. There website is extremely easy to use and understand.,5,LendingClub
2023-02-01,Easy company to do business with everything aboveboard and no surprise as a person with not so stellar credit Lending Club has seen my potential and my credit rating has increased thanks,5,LendingClub
2023-02-13,"Wow, this company really has this process down to a science! I have been a repeat customer and can recommend Lending Club without any doubt! The process was seamless, simple and the turnaround was great! Thanks Lending Club!",5,LendingClub
2023-02-16,"Fast, private and reliable!  Couldn't ask for better service.",5,LendingClub
2023-02-13,"To whom, the Lending Club financial entity is the ""go to"" for responsible borrowers with an efficient application through decision process.",5,LendingClub
2023-02-20,Since I have done business with LendingClub my email is riddled with dozens of phishing and junk emails daily. I'll pay off the loan and won't deal with you again.,1,LendingClub
2023-02-20,"I have used LendingClub for several years. I have always made my payments, made a few extra payments or paid more than the required amount. I reapplied for another loan to pay for unexpected medical expenses. It was disappointing that I got such a high rate apr for this new one. I will be looking for alternative options..",3,LendingClub
2023-02-20,Only problem is that the address on Truth and Lending disclosure document is incorrect.  I corrected through the edit option and saved it but it still shows incorrect address.,5,LendingClub
