,Company,Year,Rate,Word,Pair,Tri
0,paddypower,2017,1,"{'app': 53, 'bet': 37, 'ca': 20, 'paddy': 18, 'get': 18, 'account': 16, 'power': 15, 'even': 14, 'time': 13, 'update': 12, 'slow': 12, 'betting': 12, 'games': 11, 'bets': 10, 'go': 10, 'use': 9, 'free': 9, 'would': 8, 'back': 8, 'money': 8, 'never': 8, 'says': 7, 'freezes': 7, 'keeps': 7, 'telling': 7, 'let': 7, 'every': 7, 'take': 6, 'button': 6, 'scroll': 6}","{('paddy', 'power'): 14, ('free', 'bet'): 7, ('betting', 'app'): 4, ('waste', 'time'): 4, ('log', 'says'): 3, ('premier', 'league'): 3, ('app', 'ca'): 3, ('ca', 'get'): 3, ('keeps', 'telling'): 3, ('bet', 'button'): 3, ('one', 'worst'): 3, ('app', 'slow'): 3, ('app', 'ever'): 3, ('every', 'time'): 3, ('took', 'money'): 2, ('get', 'back'): 2, ('blah', 'blah'): 2, ('app', 'crashes'): 2, ('single', 'bets'): 2, ('work', 'time'): 2, ('slow', 'app'): 2, ('even', 'though'): 2, ('ca', 'even'): 2, ('dnt', 'account'): 2, ('plz', 'dnt'): 2, ('never', 'got'): 2, ('place', 'bet'): 2, ('since', 'update'): 2, ('wo', 'even'): 2, ('worst', 'betting'): 2}","{('password', 'every', 'time'): 2, ('every', 'points', 'earned'): 2, ('points', 'earned', 'get'): 2, ('plz', 'dnt', 'account'): 2, ('unable', 'click', 'accept'): 1, ('create', 'account', 'app'): 1, ('ca', 'create', 'account'): 1, ('button', 'ca', 'create'): 1, ('condition', 'button', 'ca'): 1, ('terms', 'condition', 'button'): 1, ('accept', 'terms', 'condition'): 1, ('click', 'accept', 'terms'): 1, ('based', 'number', 'negative'): 1, ('rubbish', 'unable', 'click'): 1, ('app', 'definetley', 'joke'): 1, ('total', 'rubbish', 'unable'): 1, ('shine', 'total', 'rubbish'): 1, ('dont', 'shine', 'total'): 1, ('sun', 'dont', 'shine'): 1, ('app', 'sun', 'dont'): 1, ('account', 'app', 'definetley'): 1, ('definetley', 'joke', 'registred'): 1, ('loss', 'shove', 'app'): 1, ('joke', 'registred', 'bet'): 1, ('called', 'placed', 'mcgregor'): 1, ('okay', 'called', 'placed'): 1, ('blah', 'okay', 'called'): 1, ('blah', 'blah', 'okay'): 1, ('blah', 'blah', 'blah'): 1, ('number', 'blah', 'blah'): 1}"
0,paddypower,2017,2,"{'app': 12, 'bet': 12, 'ca': 6, 'slow': 5, 'want': 4, 'bets': 4, 'get': 4, 'account': 4, 'often': 3, 'teams': 3, 'phone': 3, 'cash': 3, 'think': 3, 'lag': 3, 'league': 3, 'click': 3, 'sports': 3, 'cashout': 3, 'joke': 3, 'place': 3, 'offers': 2, 'message': 2, 'placed': 2, 'takes': 2, 'got': 2, 'much': 2, 'money': 2, 'play': 2, 'us': 2, 'rid': 2}","{('place', 'bet'): 3, ('lag', 'lag'): 2, ('joke', 'well'): 2, ('placed', 'bet'): 2, ('get', 'rid'): 2, ('app', 'often'): 2, ('app', 'shame'): 1, ('us', 'think'): 1, ('connection', 'making'): 1, ('internet', 'connection'): 1, ('isnt', 'internet'): 1, ('users', 'isnt'): 1, ('tells', 'users'): 1, ('message', 'tells'): 1, ('warning', 'message'): 1, ('maintenance', 'warning'): 1, ('however', 'maintenance'): 1, ('good', 'however'): 1, ('quite', 'good'): 1, ('seems', 'quite'): 1, ('app', 'seems'): 1, ('stars', 'app'): 1, ('would', 'stars'): 1, ('generally', 'happy'): 1, ('wrong', 'would'): 1, ('making', 'us'): 1, ('think', 'may'): 1, ('dispite', 'nothing'): 1, ('may', 'issues'): 1, ('lots', 'data'): 1}","{('place', 'bet', 'button'): 1, ('experiencing', 'issue', 'ok'): 1, ('users', 'isnt', 'internet'): 1, ('tells', 'users', 'isnt'): 1, ('message', 'tells', 'users'): 1, ('warning', 'message', 'tells'): 1, ('maintenance', 'warning', 'message'): 1, ('however', 'maintenance', 'warning'): 1, ('good', 'however', 'maintenance'): 1, ('quite', 'good', 'however'): 1, ('seems', 'quite', 'good'): 1, ('app', 'seems', 'quite'): 1, ('stars', 'app', 'seems'): 1, ('would', 'stars', 'app'): 1, ('wrong', 'would', 'stars'): 1, ('nothing', 'wrong', 'would'): 1, ('dispite', 'nothing', 'wrong'): 1, ('account', 'dispite', 'nothing'): 1, ('blocking', 'account', 'dispite'): 1, ('keeps', 'blocking', 'account'): 1, ('ok', 'keeps', 'blocking'): 1, ('isnt', 'internet', 'connection'): 1, ('internet', 'connection', 'making'): 1, ('connection', 'making', 'us'): 1, ('says', 'app', 'requires'): 1, ('lots', 'data', 'still'): 1, ('fi', 'lots', 'data'): 1, ('wi', 'fi', 'lots'): 1, ('full', 'wi', 'fi'): 1, ('connection', 'full', 'wi'): 1}"
0,paddypower,2017,3,"{'app': 4, 'problem': 3, 'unavailable': 3, 'lot': 2, 'able': 2, 'league': 2, 'national': 2, 'odds': 2, 'times': 2, 'wo': 2, 'live': 2, 'bet': 2, 'something': 2, 'scores': 2, 'team': 2, 'play': 2, 'mobile': 2, 'website': 1, 'new': 1, 'nowhere': 1, 'seems': 1, 'reasonable': 1, 'find': 1, 'customer': 1, 'choppy': 1, 'job': 1, 'lag': 1, 'input': 1, 'okay': 1, 'counts': 1}","{('national', 'league'): 2, ('team', 'scores'): 2, ('kicker', 'bet'): 1, ('website', 'reasonable'): 1, ('odds', 'something'): 1, ('something', 'seems'): 1, ('seems', 'nowhere'): 1, ('nowhere', 'able'): 1, ('able', 'website'): 1, ('reasonable', 'times'): 1, ('customer', 'find'): 1, ('times', 'still'): 1, ('still', 'problem'): 1, ('problem', 'scrolling'): 1, ('scrolling', 'redirects'): 1, ('redirects', 'another'): 1, ('another', 'page'): 1, ('find', 'odds'): 1, ('new', 'customer'): 1, ('never', 'clicked'): 1, ('job', 'new'): 1, ('lag', 'job'): 1, ('input', 'lag'): 1, ('lot', 'input'): 1, ('choppy', 'lot'): 1, ('okay', 'choppy'): 1, ('counts', 'okay'): 1, ('penny', 'counts'): 1, ('every', 'penny'): 1, ('free', 'every'): 1}","{('kicker', 'bet', 'disappeared'): 1, ('job', 'new', 'customer'): 1, ('scrolling', 'redirects', 'another'): 1, ('problem', 'scrolling', 'redirects'): 1, ('still', 'problem', 'scrolling'): 1, ('times', 'still', 'problem'): 1, ('reasonable', 'times', 'still'): 1, ('website', 'reasonable', 'times'): 1, ('able', 'website', 'reasonable'): 1, ('nowhere', 'able', 'website'): 1, ('seems', 'nowhere', 'able'): 1, ('something', 'seems', 'nowhere'): 1, ('odds', 'something', 'seems'): 1, ('find', 'odds', 'something'): 1, ('customer', 'find', 'odds'): 1, ('new', 'customer', 'find'): 1, ('lag', 'job', 'new'): 1, ('another', 'page', 'never'): 1, ('input', 'lag', 'job'): 1, ('lot', 'input', 'lag'): 1, ('choppy', 'lot', 'input'): 1, ('okay', 'choppy', 'lot'): 1, ('counts', 'okay', 'choppy'): 1, ('penny', 'counts', 'okay'): 1, ('every', 'penny', 'counts'): 1, ('free', 'every', 'penny'): 1, ('nice', 'free', 'every'): 1, ('something', 'nice', 'free'): 1, ('give', 'something', 'nice'): 1, ('lot', 'give', 'something'): 1}"
0,paddypower,2017,4,"{'kick': 2, 'time': 2, 'odds': 2, 'slow': 2, 'app': 2, 'daily': 1, 'hours': 1, 'behind': 1, 'tomorrow': 1, 'showing': 1, 'happened': 1, 'times': 1, 'lists': 1, 'page': 1, 'wont': 1, 'download': 1, 'stuck': 1, 'coupons': 1, 'screens': 1, 'shows': 1, 'tolf': 1, 'thanks': 1, 'sorted': 1, 'good': 1, 'otherwise': 1, 'introduced': 1, 'paddy': 1, 'since': 1, 'find': 1, 'ca': 1}","{('happened', 'tolf'): 1, ('showing', 'daily'): 1, ('times', 'hours'): 1, ('hours', 'behind'): 1, ('behind', 'kick'): 1, ('kick', 'time'): 1, ('time', 'tomorrow'): 1, ('tomorrow', 'showing'): 1, ('daily', 'coupons'): 1, ('shows', 'kick'): 1, ('coupons', 'lists'): 1, ('lists', 'page'): 1, ('page', 'slow'): 1, ('slow', 'wont'): 1, ('wont', 'download'): 1, ('download', 'stuck'): 1, ('kick', 'times'): 1, ('screens', 'shows'): 1, ('tolf', 'time'): 1, ('paddy', 'introduced'): 1, ('time', 'odds'): 1, ('odds', 'ca'): 1, ('ca', 'find'): 1, ('find', 'since'): 1, ('since', 'odds'): 1, ('odds', 'paddy'): 1, ('introduced', 'otherwise'): 1, ('slow', 'screens'): 1, ('otherwise', 'good'): 1, ('good', 'app'): 1}","{('happened', 'tolf', 'time'): 1, ('tomorrow', 'showing', 'daily'): 1, ('kick', 'times', 'hours'): 1, ('times', 'hours', 'behind'): 1, ('hours', 'behind', 'kick'): 1, ('behind', 'kick', 'time'): 1, ('kick', 'time', 'tomorrow'): 1, ('time', 'tomorrow', 'showing'): 1, ('showing', 'daily', 'coupons'): 1, ('tolf', 'time', 'odds'): 1, ('daily', 'coupons', 'lists'): 1, ('coupons', 'lists', 'page'): 1, ('lists', 'page', 'slow'): 1, ('page', 'slow', 'wont'): 1, ('slow', 'wont', 'download'): 1, ('wont', 'download', 'stuck'): 1, ('shows', 'kick', 'times'): 1, ('screens', 'shows', 'kick'): 1, ('slow', 'screens', 'shows'): 1, ('app', 'slow', 'screens'): 1, ('thanks', 'app', 'slow'): 1, ('sorted', 'thanks', 'app'): 1, ('app', 'sorted', 'thanks'): 1, ('good', 'app', 'sorted'): 1, ('otherwise', 'good', 'app'): 1, ('introduced', 'otherwise', 'good'): 1, ('paddy', 'introduced', 'otherwise'): 1, ('odds', 'paddy', 'introduced'): 1, ('since', 'odds', 'paddy'): 1, ('find', 'since', 'odds'): 1}"
0,paddypower,2017,5,"{'app': 12, 'great': 10, 'use': 6, 'easy': 5, 'good': 4, 'wk': 2, 'job': 2, 'quick': 2, 'fast': 2, 'money': 2, 'simple': 2, 'free': 2, 'store': 2, 'play': 2, 'work': 1, 'finally': 1, 'downloaded': 1, 'added': 1, 'give': 1, 'feedback': 1, 'next': 1, 'time': 1, 'shame': 1, 'lost': 1, 'pound': 1, 'hour': 1, 'downloading': 1, 'watch': 1, 'awesome': 1, 'really': 1}","{('great', 'app'): 7, ('easy', 'use'): 4, ('play', 'store'): 2, ('quick', 'easy'): 2, ('app', 'easy'): 2, ('use', 'great'): 2, ('lost', 'pound'): 1, ('time', 'great'): 1, ('app', 'great'): 1, ('fastest', 'app'): 1, ('use', 'fastest'): 1, ('simple', 'use'): 1, ('app', 'simple'): 1, ('love', 'app'): 1, ('easy', 'love'): 1, ('good', 'quick'): 1, ('pound', 'hour'): 1, ('really', 'good'): 1, ('use', 'really'): 1, ('stuff', 'best'): 1, ('app', 'shame'): 1, ('shame', 'lost'): 1, ('downloading', 'great'): 1, ('hour', 'downloading'): 1, ('great', 'stuff'): 1, ('best', 'betting'): 1, ('feedback', 'next'): 1, ('betting', 'app'): 1, ('added', 'value'): 1, ('app', 'added'): 1}","{('great', 'app', 'easy'): 2, ('app', 'easy', 'use'): 2, ('easy', 'use', 'great'): 2, ('use', 'great', 'app'): 2, ('great', 'app', 'nice'): 1, ('love', 'app', 'simple'): 1, ('betting', 'app', 'super'): 1, ('best', 'betting', 'app'): 1, ('stuff', 'best', 'betting'): 1, ('great', 'stuff', 'best'): 1, ('app', 'great', 'stuff'): 1, ('fastest', 'app', 'great'): 1, ('use', 'fastest', 'app'): 1, ('simple', 'use', 'fastest'): 1, ('app', 'simple', 'use'): 1, ('good', 'quick', 'easy'): 1, ('easy', 'love', 'app'): 1, ('quick', 'easy', 'love'): 1, ('app', 'shame', 'lost'): 1, ('really', 'good', 'quick'): 1, ('use', 'really', 'good'): 1, ('easy', 'use', 'really'): 1, ('downloading', 'great', 'app'): 1, ('hour', 'downloading', 'great'): 1, ('pound', 'hour', 'downloading'): 1, ('lost', 'pound', 'hour'): 1, ('app', 'super', 'fast'): 1, ('super', 'fast', 'simple'): 1, ('fast', 'simple', 'navigate'): 1, ('simple', 'navigate', 'good'): 1}"
0,paddypower,2018,1,"{'app': 186, 'ca': 62, 'update': 54, 'bet': 53, 'bets': 53, 'open': 50, 'account': 50, 'log': 44, 'time': 44, 'money': 42, 'wo': 40, 'since': 37, 'work': 37, 'paddy': 36, 'working': 31, 'get': 30, 'power': 28, 'use': 28, 'place': 26, 'keeps': 25, 'still': 21, 'betting': 21, 'terrible': 21, 'even': 21, 'days': 20, 'one': 18, 'service': 17, 'load': 17, 'let': 17, 'last': 17}","{('paddy', 'power'): 27, ('since', 'update'): 20, ('ca', 'log'): 14, ('wo', 'open'): 13, ('open', 'app'): 10, ('last', 'update'): 10, ('app', 'working'): 10, ('open', 'bets'): 10, ('app', 'work'): 9, ('place', 'bets'): 9, ('every', 'time'): 9, ('update', 'app'): 8, ('customer', 'service'): 8, ('app', 'wo'): 8, ('place', 'bet'): 8, ('wo', 'let'): 8, ('app', 'worked'): 7, ('free', 'bets'): 7, ('keeps', 'crashing'): 7, ('since', 'last'): 7, ('free', 'bet'): 7, ('ca', 'access'): 7, ('stopped', 'working'): 7, ('even', 'open'): 6, ('let', 'log'): 6, ('app', 'keeps'): 6, ('uninstalled', 'reinstalled'): 6, ('ca', 'even'): 5, ('withdraw', 'money'): 5, ('access', 'account'): 5}","{('since', 'last', 'update'): 7, ('wo', 'let', 'log'): 4, ('every', 'time', 'try'): 4, ('see', 'open', 'bets'): 4, ('ca', 'access', 'account'): 4, ('app', 'wo', 'open'): 4, ('ca', 'open', 'app'): 4, ('work', 'since', 'update'): 4, ('app', 'stopped', 'working'): 4, ('log', 'since', 'update'): 3, ('ca', 'log', 'since'): 3, ('come', 'paddy', 'power'): 3, ('ca', 'log', 'app'): 3, ('ca', 'see', 'open'): 3, ('come', 'pp', 'sort'): 2, ('app', 'longer', 'works'): 2, ('app', 'working', 'since'): 2, ('days', 'ago', 'wo'): 2, ('ago', 'wo', 'open'): 2, ('open', 'bets', 'bet'): 2, ('bets', 'bet', 'history'): 2, ('wo', 'open', 'ca'): 2, ('new', 'app', 'keeps'): 2, ('app', 'ca', 'see'): 2, ('ok', 'till', 'update'): 2, ('poor', 'show', 'paddy'): 2, ('app', 'keeps', 'stopping'): 2, ('stay', 'well', 'away'): 2, ('time', 'try', 'use'): 2, ('asap', 'still', 'ca'): 2}"
0,paddypower,2018,2,"{'app': 36, 'open': 11, 'since': 11, 'ca': 10, 'bets': 9, 'bet': 9, 'get': 9, 'time': 7, 'unable': 7, 'update': 6, 'screen': 6, 'log': 6, 'money': 5, 'still': 5, 'working': 5, 'trying': 5, 'paddy': 5, 'problem': 5, 'wo': 5, 'betting': 5, 'work': 5, 'use': 5, 'see': 5, 'cash': 4, 'apps': 4, 'android': 4, 'login': 4, 'go': 4, 'phone': 4, 'stopped': 4}","{('wo', 'open'): 4, ('since', 'update'): 4, ('app', 'work'): 3, ('paddy', 'power'): 3, ('stopped', 'working'): 3, ('log', 'since'): 3, ('ca', 'get'): 3, ('open', 'app'): 3, ('unable', 'see'): 2, ('app', 'stopped'): 2, ('ca', 'login'): 2, ('open', 'bets'): 2, ('error', 'message'): 2, ('recognise', 'password'): 2, ('customer', 'services'): 2, ('ca', 'see'): 2, ('get', 'sorted'): 2, ('error', 'trying'): 2, ('please', 'fix'): 2, ('put', 'bet'): 2, ('free', 'bets'): 2, ('betting', 'apps'): 2, ('get', 'finger'): 1, ('look', 'open'): 1, ('good', 'enough'): 1, ('enough', 'try'): 1, ('data', 'etc'): 1, ('try', 'another'): 1, ('another', 'betting'): 1, ('betting', 'company'): 1}","{('app', 'stopped', 'working'): 2, ('app', 'slow', 'many'): 1, ('paddy', 'get', 'sorted'): 1, ('sorted', 'ca', 'afford'): 1, ('ca', 'afford', 'http'): 1, ('afford', 'http', 'status'): 1, ('http', 'status', 'error'): 1, ('status', 'error', 'trying'): 1, ('error', 'trying', 'look'): 1, ('trying', 'look', 'open'): 1, ('look', 'open', 'bets'): 1, ('open', 'bets', 'good'): 1, ('bets', 'good', 'enough'): 1, ('good', 'enough', 'try'): 1, ('enough', 'try', 'another'): 1, ('try', 'another', 'betting'): 1, ('another', 'betting', 'company'): 1, ('betting', 'company', 'yet'): 1, ('company', 'yet', 'another'): 1, ('yet', 'another', 'ported'): 1, ('another', 'ported', 'app'): 1, ('get', 'sorted', 'ca'): 1, ('finger', 'paddy', 'get'): 1, ('app', 'design', 'android'): 1, ('get', 'finger', 'paddy'): 1, ('bets', 'error', 'message'): 1, ('error', 'message', 'older'): 1, ('message', 'older', 'app'): 1, ('older', 'app', 'better'): 1, ('app', 'better', 'go'): 1}"
0,paddypower,2018,3,"{'app': 29, 'bets': 13, 'ok': 11, 'bet': 9, 'get': 9, 'log': 8, 'good': 8, 'paddy': 7, 'better': 7, 'ca': 7, 'would': 7, 'still': 6, 'work': 6, 'need': 5, 'go': 5, 'scores': 5, 'keeps': 5, 'since': 5, 'account': 5, 'money': 5, 'back': 5, 'open': 5, 'needs': 5, 'time': 5, 'times': 5, 'free': 5, 'check': 4, 'power': 4, 'wo': 4, 'fine': 4}","{('good', 'app'): 5, ('paddy', 'power'): 4, ('settled', 'bets'): 3, ('money', 'account'): 3, ('free', 'bets'): 3, ('mobile', 'data'): 3, ('ca', 'log'): 3, ('open', 'settled'): 2, ('keeps', 'freezing'): 2, ('works', 'fine'): 2, ('app', 'needs'): 2, ('dont', 'get'): 2, ('app', 'updated'): 2, ('still', 'get'): 2, ('many', 'times'): 2, ('account', 'tried'): 2, ('would', 'like'): 2, ('since', 'update'): 2, ('cant', 'log'): 2, ('able', 'bet'): 2, ('needs', 'better'): 2, ('app', 'keeps'): 2, ('app', 'would'): 2, ('ok', 'since'): 2, ('betting', 'app'): 2, ('driving', 'mad'): 1, ('mad', 'thanks'): 1, ('thanks', 'prompt'): 1, ('worked', 'driving'): 1, ('prompt', 'reply'): 1}","{('money', 'account', 'tried'): 2, ('open', 'settled', 'bets'): 2, ('app', 'never', 'loads'): 1, ('account', 'deleted', 'reinstalled'): 1, ('pick', 'deposit', 'method'): 1, ('deposit', 'method', 'partner'): 1, ('method', 'partner', 'works'): 1, ('partner', 'works', 'fine'): 1, ('works', 'fine', 'phone'): 1, ('fine', 'phone', 'account'): 1, ('phone', 'account', 'deleted'): 1, ('deleted', 'reinstalled', 'app'): 1, ('screen', 'even', 'pick'): 1, ('reinstalled', 'app', 'worked'): 1, ('app', 'worked', 'driving'): 1, ('worked', 'driving', 'mad'): 1, ('driving', 'mad', 'thanks'): 1, ('mad', 'thanks', 'prompt'): 1, ('thanks', 'prompt', 'reply'): 1, ('prompt', 'reply', 'happens'): 1, ('reply', 'happens', 'using'): 1, ('even', 'pick', 'deposit'): 1, ('circle', 'screen', 'even'): 1, ('app', 'would', 'alot'): 1, ('liked', 'app', 'new'): 1, ('alot', 'better', 'could'): 1, ('better', 'could', 'actually'): 1, ('could', 'actually', 'use'): 1, ('actually', 'use', 'work'): 1, ('use', 'work', 'sort'): 1}"
0,paddypower,2018,4,"{'app': 43, 'good': 36, 'easy': 17, 'use': 15, 'great': 10, 'better': 9, 'bets': 9, 'bet': 9, 'like': 8, 'best': 6, 'get': 6, 'betting': 6, 'need': 6, 'well': 6, 'needs': 5, 'love': 5, 'paddy': 5, 'quick': 5, 'would': 5, 'ca': 5, 'ok': 5, 'odds': 4, 'user': 4, 'power': 4, 'account': 4, 'win': 4, 'happy': 4, 'works': 4, 'could': 4, 'play': 3}","{('good', 'app'): 12, ('easy', 'use'): 12, ('app', 'good'): 4, ('good', 'good'): 4, ('paddy', 'power'): 4, ('app', 'easy'): 3, ('betting', 'app'): 3, ('great', 'app'): 3, ('easy', 'navigate'): 2, ('sky', 'bet'): 2, ('user', 'friendly'): 2, ('good', 'love'): 2, ('better', 'boylesports'): 2, ('bit', 'difficult'): 2, ('works', 'well'): 2, ('win', 'lose'): 2, ('free', 'bets'): 2, ('page', 'refreshes'): 2, ('app', 'well'): 2, ('refreshes', 'transaction'): 2, ('requires', 'faster'): 1, ('shame', 'requires'): 1, ('faster', 'internet'): 1, ('internet', 'apps'): 1, ('apps', 'keeps'): 1, ('runs', 'particular'): 1, ('great', 'shame'): 1, ('keeps', 'freezing'): 1, ('freezing', 'minimum'): 1, ('minimum', 'run'): 1}","{('app', 'good', 'app'): 2, ('app', 'easy', 'use'): 2, ('page', 'refreshes', 'transaction'): 2, ('let', 'depositing', 'via'): 1, ('internet', 'apps', 'keeps'): 1, ('runs', 'particular', 'ball'): 1, ('particular', 'ball', 'cricket'): 1, ('ball', 'cricket', 'great'): 1, ('cricket', 'great', 'shame'): 1, ('great', 'shame', 'requires'): 1, ('shame', 'requires', 'faster'): 1, ('requires', 'faster', 'internet'): 1, ('faster', 'internet', 'apps'): 1, ('keeps', 'freezing', 'minimum'): 1, ('apps', 'keeps', 'freezing'): 1, ('minute', 'markets', 'runs'): 1, ('freezing', 'minimum', 'run'): 1, ('minimum', 'run', 'user'): 1, ('run', 'user', 'interface'): 1, ('user', 'interface', 'needs'): 1, ('interface', 'needs', 'improved'): 1, ('needs', 'improved', 'quite'): 1, ('markets', 'runs', 'particular'): 1, ('instance', 'minute', 'minute'): 1, ('minute', 'minute', 'markets'): 1, ('quite', 'bit', 'difficult'): 1, ('good', 'app', 'good'): 1, ('app', 'good', 'good'): 1, ('good', 'good', 'ideal'): 1, ('good', 'ideal', 'look'): 1}"
0,paddypower,2018,5,"{'app': 238, 'great': 167, 'good': 114, 'easy': 104, 'use': 93, 'love': 53, 'best': 50, 'betting': 49, 'paddy': 37, 'bet': 33, 'bets': 33, 'power': 33, 'brilliant': 27, 'excellent': 25, 'odds': 25, 'fast': 19, 'fun': 17, 'site': 17, 'like': 17, 'get': 17, 'service': 16, 'works': 15, 'free': 15, 'would': 13, 'cash': 13, 'need': 13, 'well': 12, 'quick': 12, 'one': 12, 'really': 11}","{('easy', 'use'): 70, ('great', 'app'): 61, ('good', 'app'): 38, ('paddy', 'power'): 28, ('app', 'good'): 28, ('app', 'great'): 25, ('betting', 'app'): 23, ('app', 'easy'): 23, ('best', 'betting'): 15, ('love', 'paddy'): 11, ('use', 'great'): 11, ('user', 'friendly'): 10, ('excellent', 'app'): 10, ('use', 'app'): 9, ('easy', 'navigate'): 9, ('app', 'love'): 9, ('app', 'use'): 8, ('good', 'great'): 8, ('use', 'easy'): 7, ('good', 'odds'): 7, ('great', 'love'): 7, ('great', 'great'): 6, ('love', 'great'): 6, ('says', 'tin'): 6, ('free', 'bets'): 6, ('use', 'good'): 6, ('great', 'offers'): 6, ('brilliant', 'app'): 6, ('best', 'app'): 6, ('great', 'site'): 5}","{('app', 'easy', 'use'): 20, ('best', 'betting', 'app'): 12, ('app', 'great', 'app'): 12, ('great', 'app', 'easy'): 12, ('app', 'good', 'app'): 11, ('love', 'paddy', 'power'): 9, ('easy', 'use', 'great'): 9, ('great', 'app', 'good'): 8, ('use', 'great', 'app'): 8, ('good', 'app', 'easy'): 6, ('easy', 'use', 'good'): 6, ('easy', 'use', 'easy'): 6, ('great', 'app', 'great'): 5, ('easy', 'use', 'best'): 5, ('easy', 'use', 'app'): 5, ('good', 'app', 'good'): 4, ('excellent', 'app', 'good'): 4, ('good', 'app', 'great'): 4, ('paddy', 'power', 'best'): 4, ('use', 'easy', 'use'): 4, ('great', 'love', 'great'): 4, ('love', 'easy', 'use'): 4, ('great', 'app', 'love'): 4, ('easy', 'use', 'love'): 3, ('good', 'easy', 'use'): 3, ('brilliant', 'app', 'great'): 3, ('good', 'brilliant', 'app'): 3, ('use', 'best', 'betting'): 3, ('great', 'site', 'great'): 3, ('app', 'good', 'odds'): 3}"
