,Company,Review,Date,Rate
0,paddypower,"Smooth and simple betting experience. Probably second only to Bet365 for me. Loses a star because I don't like how to find the day's horse racing. It's too convoluted, just give me one click access to all the day's meetings rather than having to go round the houses. But otherwise this is a very usable app and I like the loyalty rewards",2019-10-23 14:43:11,4
1,paddypower,The mobile app is very good but I want them to spend more time on it as there is still plenty of room for improvement. I don't like how the website constantly reminds me to use the app. I'd also rather that the mobile website had more features as I feel that trying to align them so closely ends up limiting functionality. My biggest problem is navigation and search - it's not up to scratch.,2019-06-14 13:38:10,4
2,paddypower,"Recently became quite janky. Seems to lag badly. Several times in past few days, while trying to place bets, there has been a delay when typing stake in. Scrolling through events, screen goes blank, and it takes several seconds to populate the list. Used to be super smooth. Not sure what's gone wrong recently...",2022-07-10 19:25:55,2
3,paddypower,"For an inexperienced gambler I'm happy with the app. Good sign up bonus. Clear odds. Easy to set limits etc I'm sure it's the same with every other app but since the last time (5 years) I had a gambling app, when you withdraw your winnings it's instantaneous back into your chosen account, not 4 working days. Which is great.",2021-01-20 21:08:22,4
4,paddypower,App isn't that great imo. Paddy powers odds feel lower then others. More just be my luck with them. But when I play something it will just be nothing every spin. But other apps I get something come up every now and then. This is after several tries. The wonder wheel is basically pointless. You get the odd scratch card which is just a waste of time. They only have promos on sports and nothing else. Beat the drop is a joke. The questions start off easy but then get stupid half way through.,2023-02-04 06:58:10,2
5,paddypower,"Great odds, very userfriendly. Quickly becoming my favourite sports betting app. Are there things that could be improved, absolutely. I'd like to follow the stats I'm betting on to see how I'm doing, but it doesn't take away enough to ruin my experience. Very good, very fun.",2023-01-26 18:42:38,5
6,paddypower,"Great, apart from the search. I like how easy it is to use, and it updates your balance quickly when you've had a win. But the search is rubbish! It didn't used to be this bad. Searching for the trainer's name, when I know that they have several horses running tomorrow, gets zero results.",2023-01-25 17:54:41,3
7,paddypower,"Had a few problems over 3 years I've been using them. But by and large ,a decent bookies. They have some really good promotions on regularly, and their customer services has improved. I also use sky bet,but I find paddy Power superior, and more generous.",2023-01-27 18:44:58,4
8,paddypower,"I just woke up today and clicked on paddy Power app to find it's not working it's saying unfortunately your in a country that paddy Power support. ?? I live in the UK, I was betting on the app yesterday, I don't use or own any vpn services so have no idea why I can't pick up that I'm in the UK. I have £10 on my account and was going to use that for a football today.",2023-02-11 04:40:00,2
9,paddypower,"It's a good app, just need more selection of type of bets you can do on football like in other apps, like both teams to score, team to score 2 goals, over/under 2.5 goals , corners booking points etc",2023-02-01 05:40:48,5
10,paddypower,"Only gave 3 stars because 365 football odds are usually 5 to 10 points better. Also they have much better lotto combination games, and to top it off they throw in an occasional free bet.",2023-01-31 14:40:22,3
11,paddypower,"Very good app! Easy to navigate & use. Would've given 5 stars & said ""Great"" app, except that when a game has a high score, say 5-0, PP doesn't allow any bets, they lock off the option to bet, whereas Sky Bet allows bets, but adjusts odds accordingly. GL",2023-01-28 09:12:13,4
12,paddypower,"Not great, bet elsewhere REASONS - everytime you go to place a bet the odds drop😁, honestly don't bet with them. - no bonuses for loyal customers - odds compared to others like Skybet are shocking - many, many glitches that have been there for years. - no rewards.. ever. - just take, take, take. Sad really. - I thoroughly recommend Skybet for a more Quality experience. - GUI on paddypower is childish and feels very fake. - Paddypower is flat and cringeworthy. Please do bet elsewhere.",2023-02-09 22:10:35,1
13,paddypower,"I'm not a real gambler so only do the obb horse race. I dont understand how to do the football or other sports, and the explanations arent any help as im dyslexic., so couldnt do any other bets. Please consider those who have reading and comprehension issues, in your explanations. Very impressed with your prompt response, 👏🏻 thank you.",2023-02-03 20:30:11,4
14,paddypower,"0 stars iv put ridiculous amount into this app and not had a single win....can't add limit restrictions...this is set up to take...other sites pay way more, don't use, also all my friends have had the same experience so there is definitely no way to win on here....move to betfair, virgin, they actually pay and give win based on there % payout, unlike paddy Power where they have lied about the payout %... seem this is a big problem on paddy Power for ripping there customers off.",2023-02-07 07:41:04,1
15,paddypower,"Best for betting on horses and football. Only thing I could fault them for is that my husband keeps asking ,""Why I have yet not won anything on the wonder-wheel yet daily . Best of the pick is my recommendation.",2023-02-02 16:48:23,5
16,paddypower,"Great app, only just signed up and was lucky enough to win £400 on my first couple of games of bingo! I like the layout better than boring skybet/bet365 with some nice bonuses too!",2023-01-31 05:49:35,5
17,paddypower,"Im extremely happy since i use this app (3y ago), there's some bugs from time to time, but they fix it quick! I do receive my money quick as well! keep going this way PP, kind of regards",2023-01-28 14:30:31,5
18,paddypower,"I really like the Paddy Power App. Easy to use and find sporting events with updates, offers and attractive prices.",2023-01-28 14:49:35,5
19,paddypower,"Sometimes your app can go really slow, so much to the point that you could miss an inplay bet, in general though it's quite good",2023-01-28 10:12:22,3
20,paddypower,Generally very good. Could improve football accumulator options by keeping all matches for each league together for each weekend,2023-01-28 10:05:00,4
21,paddypower,"Never find the bets you want, don't answer #paddy requestabet Need I go on, not enough lists, no full schedule of women super league football list. Moto gp races, moto 2, moto 3. I might even go to a other company, disappointing.",2023-01-29 14:21:44,1
