,Company,Year,Rate,Word,Pair,Tri
0,r888,2017,1,"{'get': 6, 'even': 5, 'account': 5, 'deposit': 5, 'app': 4, 'try': 3, 'winnings': 3, 'spins': 3, 'open': 3, 'free': 3, 'bonus': 3, 'log': 3, 'red': 2, 'win': 2, 'money': 2, 'promised': 2, 'feel': 2, 'waste': 2, 'play': 2, 'making': 2, 'go': 2, 'sign': 2, 'never': 2, 'game': 2, 'far': 2, 'poker': 2, 'takes': 2, 'cheat': 2, 'dont': 2, 'times': 2}","{('free', 'spins'): 3, ('even', 'get'): 1, ('payne', 'pavne'): 1, ('round', 'circle'): 1, ('circle', 'far'): 1, ('far', 'go'): 1, ('go', 'wo'): 1, ('wo', 'even'): 1, ('even', 'open'): 1, ('open', 'google'): 1, ('google', 'isit'): 1, ('isit', 'name'): 1, ('name', 'dean'): 1, ('dean', 'payne'): 1, ('pavne', 'xx'): 1, ('open', 'says'): 1, ('xx', 'takes'): 1, ('takes', 'lot'): 1, ('lot', 'give'): 1, ('give', 'ca'): 1, ('ca', 'take'): 1, ('take', 'win'): 1, ('win', 'days'): 1, ('days', 'never'): 1, ('never', 'go'): 1, ('go', 'account'): 1, ('account', 'scam'): 1, ('says', 'round'): 1, ('try', 'open'): 1, ('receive', 'bonus'): 1}","{('even', 'get', 'past'): 1, ('bonus', 'deposit', 'absolute'): 1, ('round', 'circle', 'far'): 1, ('circle', 'far', 'go'): 1, ('far', 'go', 'wo'): 1, ('go', 'wo', 'even'): 1, ('wo', 'even', 'open'): 1, ('even', 'open', 'google'): 1, ('open', 'google', 'isit'): 1, ('google', 'isit', 'name'): 1, ('isit', 'name', 'dean'): 1, ('name', 'dean', 'payne'): 1, ('dean', 'payne', 'pavne'): 1, ('payne', 'pavne', 'xx'): 1, ('pavne', 'xx', 'takes'): 1, ('xx', 'takes', 'lot'): 1, ('takes', 'lot', 'give'): 1, ('lot', 'give', 'ca'): 1, ('give', 'ca', 'take'): 1, ('ca', 'take', 'win'): 1, ('take', 'win', 'days'): 1, ('win', 'days', 'never'): 1, ('days', 'never', 'go'): 1, ('never', 'go', 'account'): 1, ('go', 'account', 'scam'): 1, ('account', 'scam', 'receive'): 1, ('scam', 'receive', 'bonus'): 1, ('says', 'round', 'circle'): 1, ('open', 'says', 'round'): 1, ('try', 'open', 'says'): 1}"
0,r888,2017,2,"{'free': 2, 'spins': 2, 'got': 1, 'money': 1, 'transferred': 1, 'account': 1, 'bother': 1, 'european': 1, 'roulette': 1, 'let': 1, 'place': 1, 'chips': 1, 'anywhere': 1, 'promised': 1}","{('free', 'spins'): 2, ('got', 'free'): 1, ('spins', 'money'): 1, ('money', 'transferred'): 1, ('transferred', 'account'): 1, ('account', 'bother'): 1, ('bother', 'european'): 1, ('european', 'roulette'): 1, ('roulette', 'let'): 1, ('let', 'place'): 1, ('place', 'chips'): 1, ('chips', 'anywhere'): 1, ('anywhere', 'free'): 1, ('spins', 'promised'): 1}","{('got', 'free', 'spins'): 1, ('free', 'spins', 'money'): 1, ('spins', 'money', 'transferred'): 1, ('money', 'transferred', 'account'): 1, ('transferred', 'account', 'bother'): 1, ('account', 'bother', 'european'): 1, ('bother', 'european', 'roulette'): 1, ('european', 'roulette', 'let'): 1, ('roulette', 'let', 'place'): 1, ('let', 'place', 'chips'): 1, ('place', 'chips', 'anywhere'): 1, ('chips', 'anywhere', 'free'): 1, ('anywhere', 'free', 'spins'): 1, ('free', 'spins', 'promised'): 1}"
0,r888,2017,3,"{'good': 2, 'would': 2, 'bank': 2, 'app': 1, 'winnings': 1, 'ok': 1, 'dont': 1, 'try': 1, 'look': 1, 'account': 1, 'crashes': 1, 'put': 1, 'seem': 1, 'example': 1, 'bankroll': 1, 'want': 1, 'available': 1, 'need': 1, 'first': 1, 'verified': 1, 'withdraw': 1, 'cant': 1, 'easy': 1, 'deposit': 1, 'transfer': 1, 'especially': 1, 'comes': 1, 'wiring': 1, 'money': 1, 'asking': 1}","{('good', 'easy'): 1, ('easy', 'transfer'): 1, ('seem', 'withdraw'): 1, ('withdraw', 'winnings'): 1, ('winnings', 'ok'): 1, ('ok', 'dont'): 1, ('dont', 'try'): 1, ('try', 'look'): 1, ('look', 'account'): 1, ('account', 'crashes'): 1, ('crashes', 'app'): 1, ('app', 'put'): 1, ('put', 'bank'): 1, ('bank', 'example'): 1, ('example', 'bankroll'): 1, ('bankroll', 'want'): 1, ('want', 'bank'): 1, ('bank', 'available'): 1, ('available', 'need'): 1, ('need', 'first'): 1, ('first', 'verified'): 1, ('cant', 'seem'): 1, ('good', 'cant'): 1, ('deposit', 'good'): 1, ('like', 'bic'): 1, ('transfer', 'especially'): 1, ('especially', 'comes'): 1, ('comes', 'wiring'): 1, ('wiring', 'money'): 1, ('money', 'asking'): 1}","{('good', 'easy', 'transfer'): 1, ('crashes', 'app', 'put'): 1, ('seem', 'withdraw', 'winnings'): 1, ('withdraw', 'winnings', 'ok'): 1, ('winnings', 'ok', 'dont'): 1, ('ok', 'dont', 'try'): 1, ('dont', 'try', 'look'): 1, ('try', 'look', 'account'): 1, ('look', 'account', 'crashes'): 1, ('account', 'crashes', 'app'): 1, ('app', 'put', 'bank'): 1, ('good', 'cant', 'seem'): 1, ('put', 'bank', 'example'): 1, ('bank', 'example', 'bankroll'): 1, ('example', 'bankroll', 'want'): 1, ('bankroll', 'want', 'bank'): 1, ('want', 'bank', 'available'): 1, ('bank', 'available', 'need'): 1, ('available', 'need', 'first'): 1, ('need', 'first', 'verified'): 1, ('cant', 'seem', 'withdraw'): 1, ('deposit', 'good', 'cant'): 1, ('easy', 'transfer', 'especially'): 1, ('like', 'bic', 'iban'): 1, ('transfer', 'especially', 'comes'): 1, ('especially', 'comes', 'wiring'): 1, ('comes', 'wiring', 'money'): 1, ('wiring', 'money', 'asking'): 1, ('money', 'asking', 'sort'): 1, ('asking', 'sort', 'things'): 1}"
0,r888,2017,4,"{'app': 2, 'good': 1, 'like': 1}","{('good', 'app'): 1, ('app', 'like'): 1, ('like', 'app'): 1}","{('good', 'app', 'like'): 1, ('app', 'like', 'app'): 1}"
0,r888,2017,5,"{'good': 9, 'games': 8, 'great': 7, 'love': 6, 'site': 4, 'best': 3, 'game': 3, 'luck': 3, 'fun': 2, 'app': 2, 'amazing': 2, 'would': 2, 'brilliant': 2, 'bonuses': 2, 'payouts': 1, 'main': 1, 'plus': 1, 'many': 1, 'people': 1, 'playing': 1, 'time': 1, 'well': 1, 'losses': 1, 'recommend': 1, 'others': 1, 'aswell': 1, 'far': 1, 'winning': 1, 'say': 1, 'quality': 1}","{('love', 'games'): 2, ('good', 'win'): 1, ('aswell', 'far'): 1, ('amazing', 'games'): 1, ('bonuses', 'amazing'): 1, ('amazing', 'bonuses'): 1, ('site', 'amazing'): 1, ('quality', 'site'): 1, ('good', 'quality'): 1, ('say', 'good'): 1, ('would', 'say'): 1, ('winning', 'would'): 1, ('far', 'winning'): 1, ('others', 'aswell'): 1, ('live', 'games'): 1, ('recommend', 'others'): 1, ('would', 'recommend'): 1, ('games', 'would'): 1, ('well', 'love'): 1, ('time', 'well'): 1, ('playing', 'time'): 1, ('people', 'playing'): 1, ('many', 'people'): 1, ('plus', 'many'): 1, ('play', 'plus'): 1, ('games', 'best'): 1, ('best', 'ever'): 1, ('ever', 'played'): 1, ('great', 'great'): 1, ('game', 'holiday'): 1}","{('good', 'win', 'ago'): 1, ('live', 'games', 'play'): 1, ('amazing', 'games', 'best'): 1, ('bonuses', 'amazing', 'games'): 1, ('amazing', 'bonuses', 'amazing'): 1, ('site', 'amazing', 'bonuses'): 1, ('quality', 'site', 'amazing'): 1, ('good', 'quality', 'site'): 1, ('say', 'good', 'quality'): 1, ('would', 'say', 'good'): 1, ('winning', 'would', 'say'): 1, ('far', 'winning', 'would'): 1, ('aswell', 'far', 'winning'): 1, ('others', 'aswell', 'far'): 1, ('recommend', 'others', 'aswell'): 1, ('would', 'recommend', 'others'): 1, ('games', 'would', 'recommend'): 1, ('love', 'games', 'would'): 1, ('well', 'love', 'games'): 1, ('time', 'well', 'love'): 1, ('playing', 'time', 'well'): 1, ('people', 'playing', 'time'): 1, ('many', 'people', 'playing'): 1, ('plus', 'many', 'people'): 1, ('play', 'plus', 'many'): 1, ('games', 'best', 'ever'): 1, ('best', 'ever', 'played'): 1, ('ever', 'played', 'luck'): 1, ('app', 'great', 'great'): 1, ('love', 'game', 'holiday'): 1}"
0,r888,2018,1,"{'free': 16, 'app': 14, 'get': 12, 'deposit': 12, 'money': 11, 'even': 9, 'account': 8, 'let': 7, 'scam': 7, 'email': 7, 'play': 7, 'spins': 6, 'never': 6, 'absolute': 6, 'pounds': 5, 'sign': 5, 'dont': 5, 'time': 5, 'ca': 5, 'bank': 5, 'bad': 4, 'complete': 4, 'away': 4, 'bonus': 4, 'take': 4, 'game': 4, 'like': 4, 'pay': 4, 'garbage': 4, 'put': 4}","{('free', 'spins'): 5, ('even', 'let'): 3, ('get', 'free'): 3, ('complete', 'scam'): 2, ('minimum', 'deposit'): 2, ('free', 'bets'): 2, ('send', 'money'): 2, ('delete', 'account'): 2, ('never', 'got'): 2, ('got', 'free'): 2, ('money', 'bank'): 2, ('stay', 'away'): 2, ('absolute', 'rubbish'): 2, ('free', 'deposit'): 2, ('quid', 'free'): 2, ('bank', 'account'): 2, ('sign', 'offer'): 2, ('scam', 'dont'): 2, ('take', 'money'): 2, ('spins', 'quid'): 2, ('could', 'even'): 1, ('even', 'get'): 1, ('get', 'would'): 1, ('would', 'play'): 1, ('ur', 'time'): 1, ('play', 'landscape'): 1, ('landscape', 'mode'): 1, ('time', 'tell'): 1, ('mode', 'waste'): 1, ('waste', 'ur'): 1}","{('free', 'spins', 'quid'): 2, ('spins', 'quid', 'free'): 2, ('never', 'got', 'free'): 2, ('get', 'free', 'spins'): 2, ('report', 'pathetic', 'could'): 1, ('treat', 'customers', 'like'): 1, ('customers', 'like', 'get'): 1, ('like', 'get', 'away'): 1, ('get', 'away', 'well'): 1, ('away', 'well', 'going'): 1, ('well', 'going', 'report'): 1, ('going', 'report', 'pathetic'): 1, ('pathetic', 'could', 'even'): 1, ('absolute', 'disgrace', 'treat'): 1, ('could', 'even', 'get'): 1, ('even', 'get', 'would'): 1, ('get', 'would', 'play'): 1, ('would', 'play', 'landscape'): 1, ('play', 'landscape', 'mode'): 1, ('landscape', 'mode', 'waste'): 1, ('mode', 'waste', 'ur'): 1, ('disgrace', 'treat', 'customers'): 1, ('away', 'robbers', 'absolute'): 1, ('robbers', 'absolute', 'disgrace'): 1, ('pay', 'jump', 'hoops'): 1, ('b', 'take', 'money'): 1, ('take', 'money', 'instantly'): 1, ('money', 'instantly', 'win'): 1, ('instantly', 'win', 'take'): 1, ('win', 'take', 'week'): 1}"
0,r888,2018,2,"{'app': 4, 'even': 4, 'free': 4, 'signed': 2, 'bet': 2, 'register': 2, 'let': 2, 'get': 2, 'money': 1, 'account': 1, 'win': 1, 'play': 1, 'anywhere': 1, 'ca': 1, 'waste': 1, 'withdraw': 1, 'like': 1, 'fair': 1, 'loses': 1, 'connection': 1, 'every': 1, 'mins': 1, 'seriously': 1, 'slow': 1, 'deleted': 1, 'would': 1, 'catch': 1, 'didnt': 1, 'pound': 1, 'bonus': 1}","{('signed', 'could'): 1, ('withdraw', 'like'): 1, ('every', 'mins'): 1, ('connection', 'every'): 1, ('loses', 'connection'): 1, ('app', 'loses'): 1, ('fair', 'app'): 1, ('bet', 'fair'): 1, ('like', 'bet'): 1, ('ca', 'withdraw'): 1, ('seriously', 'slow'): 1, ('even', 'ca'): 1, ('anywhere', 'even'): 1, ('play', 'anywhere'): 1, ('win', 'play'): 1, ('catch', 'win'): 1, ('free', 'catch'): 1, ('get', 'free'): 1, ('mins', 'seriously'): 1, ('slow', 'would'): 1, ('could', 'even'): 1, ('logged', 'claimed'): 1, ('deleted', 'waste'): 1, ('surprise', 'deleted'): 1, ('account', 'surprise'): 1, ('money', 'account'): 1, ('oh', 'money'): 1, ('free', 'oh'): 1, ('claimed', 'free'): 1, ('signed', 'logged'): 1}","{('signed', 'could', 'even'): 1, ('withdraw', 'like', 'bet'): 1, ('every', 'mins', 'seriously'): 1, ('connection', 'every', 'mins'): 1, ('loses', 'connection', 'every'): 1, ('app', 'loses', 'connection'): 1, ('fair', 'app', 'loses'): 1, ('bet', 'fair', 'app'): 1, ('like', 'bet', 'fair'): 1, ('ca', 'withdraw', 'like'): 1, ('promotion', 'sign', 'get'): 1, ('even', 'ca', 'withdraw'): 1, ('anywhere', 'even', 'ca'): 1, ('play', 'anywhere', 'even'): 1, ('win', 'play', 'anywhere'): 1, ('catch', 'win', 'play'): 1, ('free', 'catch', 'win'): 1, ('get', 'free', 'catch'): 1, ('mins', 'seriously', 'slow'): 1, ('seriously', 'slow', 'would'): 1, ('slow', 'would', 'recommend'): 1, ('would', 'recommend', 'didnt'): 1, ('surprise', 'deleted', 'waste'): 1, ('account', 'surprise', 'deleted'): 1, ('money', 'account', 'surprise'): 1, ('oh', 'money', 'account'): 1, ('free', 'oh', 'money'): 1, ('claimed', 'free', 'oh'): 1, ('logged', 'claimed', 'free'): 1, ('signed', 'logged', 'claimed'): 1}"
0,r888,2018,3,"{'win': 7, 'play': 5, 'money': 4, 'ha': 4, 'fun': 3, 'know': 3, 'never': 3, 'free': 3, 'game': 3, 'thats': 3, 'dog': 2, 'night': 2, 'one': 2, 'also': 2, 'understand': 2, 'eat': 1, 'would': 1, 'anyone': 1, 'company': 1, 'forced': 1, 'heard': 1, 'deal': 1, 'chances': 1, 'playing': 1, 'safely': 1, 'think': 1, 'procedures': 1, 'even': 1, 'made': 1, 'heads': 1}","{('free', 'play'): 3, ('ha', 'ha'): 2, ('win', 'big'): 1, ('never', 'heard'): 1, ('heard', 'anyone'): 1, ('anyone', 'would'): 1, ('would', 'know'): 1, ('know', 'actually'): 1, ('actually', 'win'): 1, ('big', 'one'): 1, ('chances', 'ha'): 1, ('one', 'friends'): 1, ('friends', 'sits'): 1, ('sits', 'night'): 1, ('night', 'every'): 1, ('every', 'night'): 1, ('ha', 'never'): 1, ('good', 'load'): 1, ('huge', 'bump'): 1, ('game', 'chances'): 1, ('playing', 'game'): 1, ('safely', 'playing'): 1, ('think', 'safely'): 1, ('even', 'think'): 1, ('world', 'even'): 1, ('dog', 'world'): 1, ('eat', 'dog'): 1, ('dog', 'eat'): 1, ('know', 'dog'): 1, ('also', 'know'): 1}","{('good', 'load', 'times'): 1, ('actually', 'win', 'big'): 1, ('ha', 'never', 'heard'): 1, ('never', 'heard', 'anyone'): 1, ('heard', 'anyone', 'would'): 1, ('anyone', 'would', 'know'): 1, ('would', 'know', 'actually'): 1, ('know', 'actually', 'win'): 1, ('win', 'big', 'one'): 1, ('company', 'forced', 'deal'): 1, ('big', 'one', 'friends'): 1, ('one', 'friends', 'sits'): 1, ('friends', 'sits', 'night'): 1, ('sits', 'night', 'every'): 1, ('night', 'every', 'night'): 1, ('every', 'night', 'huge'): 1, ('ha', 'ha', 'never'): 1, ('chances', 'ha', 'ha'): 1, ('game', 'chances', 'ha'): 1, ('playing', 'game', 'chances'): 1, ('safely', 'playing', 'game'): 1, ('think', 'safely', 'playing'): 1, ('even', 'think', 'safely'): 1, ('world', 'even', 'think'): 1, ('dog', 'world', 'even'): 1, ('eat', 'dog', 'world'): 1, ('dog', 'eat', 'dog'): 1, ('know', 'dog', 'eat'): 1, ('also', 'know', 'dog'): 1, ('heads', 'also', 'know'): 1}"
0,r888,2018,4,"{'good': 8, 'great': 5, 'win': 4, 'get': 3, 'away': 2, 'winnings': 2, 'easy': 2, 'far': 2, 'spin': 2, 'sometimes': 2, 'enough': 2, 'app': 2, 'see': 2, 'spins': 2, 'also': 2, 'free': 2, 'like': 2, 'something': 2, 'bad': 2, 'betting': 1, 'think': 1, 'okay': 1, 'trying': 1, 'spend': 1, 'enjoyable': 1, 'tho': 1, 'werk': 1, 'occasionally': 1, 'use': 1, 'casino': 1}","{('free', 'spins'): 2, ('welcome', 'bonus'): 1, ('either', 'easily'): 1, ('trying', 'get'): 1, ('get', 'win'): 1, ('win', 'enough'): 1, ('enough', 'big'): 1, ('big', 'wins'): 1, ('wins', 'either'): 1, ('easily', 'see'): 1, ('spend', 'winnings'): 1, ('see', 'people'): 1, ('people', 'get'): 1, ('get', 'addicted'): 1, ('addicted', 'lose'): 1, ('lose', 'shirts'): 1, ('winnings', 'trying'): 1, ('easy', 'spend'): 1, ('bad', 'good'): 1, ('enjoyable', 'easy'): 1, ('good', 'enjoyable'): 1, ('tho', 'good'): 1, ('werk', 'tho'): 1, ('occasionally', 'werk'): 1, ('use', 'occasionally'): 1, ('casino', 'use'): 1, ('great', 'casino'): 1, ('games', 'great'): 1, ('alot', 'games'): 1, ('christmas', 'alot'): 1}","{('welcome', 'bonus', 'rubbish'): 1, ('easy', 'spend', 'winnings'): 1, ('addicted', 'lose', 'shirts'): 1, ('get', 'addicted', 'lose'): 1, ('people', 'get', 'addicted'): 1, ('see', 'people', 'get'): 1, ('easily', 'see', 'people'): 1, ('either', 'easily', 'see'): 1, ('wins', 'either', 'easily'): 1, ('big', 'wins', 'either'): 1, ('enough', 'big', 'wins'): 1, ('win', 'enough', 'big'): 1, ('get', 'win', 'enough'): 1, ('trying', 'get', 'win'): 1, ('winnings', 'trying', 'get'): 1, ('spend', 'winnings', 'trying'): 1, ('enjoyable', 'easy', 'spend'): 1, ('jokerpro', 'slot', 'wish'): 1, ('good', 'enjoyable', 'easy'): 1, ('tho', 'good', 'enjoyable'): 1, ('werk', 'tho', 'good'): 1, ('occasionally', 'werk', 'tho'): 1, ('use', 'occasionally', 'werk'): 1, ('casino', 'use', 'occasionally'): 1, ('great', 'casino', 'use'): 1, ('games', 'great', 'casino'): 1, ('alot', 'games', 'great'): 1, ('christmas', 'alot', 'games'): 1, ('wonderful', 'christmas', 'alot'): 1, ('could', 'wonderful', 'christmas'): 1}"
0,r888,2018,5,"{'good': 23, 'great': 11, 'love': 7, 'games': 7, 'app': 7, 'fun': 5, 'best': 5, 'game': 5, 'free': 5, 'brilliant': 4, 'really': 4, 'money': 4, 'one': 4, 'hours': 3, 'awesome': 3, 'easy': 3, 'deposit': 3, 'site': 3, 'far': 2, 'casino': 2, 'navigate': 2, 'wins': 2, 'use': 2, 'play': 2, 'depositing': 2, 'get': 2, 'amount': 2, 'bonus': 2, 'win': 2, 'deposited': 2}","{('good', 'game'): 4, ('great', 'app'): 4, ('game', 'good'): 2, ('pass', 'time'): 2, ('easy', 'use'): 2, ('games', 'good'): 2, ('far', 'good'): 2, ('app', 'good'): 2, ('good', 'buggers'): 1, ('alskk', 'good'): 1, ('ok', 'alskk'): 1, ('okay', 'ok'): 1, ('amazing', 'great'): 1, ('great', 'okay'): 1, ('one', 'little'): 1, ('nice', 'amazing'): 1, ('good', 'nice'): 1, ('good', 'good'): 1, ('brilliant', 'good'): 1, ('buggers', 'one'): 1, ('started', 'free'): 1, ('little', 'vault'): 1, ('vault', 'left'): 1, ('cool', 'brilliant'): 1, ('user', 'hands'): 1, ('hands', 'got'): 1, ('got', 'ta'): 1, ('ta', 'precise'): 1, ('precise', 'delay'): 1, ('delay', 'big'): 1}","{('started', 'free', 'spins'): 1, ('ok', 'alskk', 'good'): 1, ('vault', 'left', 'user'): 1, ('little', 'vault', 'left'): 1, ('one', 'little', 'vault'): 1, ('buggers', 'one', 'little'): 1, ('good', 'buggers', 'one'): 1, ('alskk', 'good', 'buggers'): 1, ('okay', 'ok', 'alskk'): 1, ('plenty', 'free', 'bets'): 1, ('great', 'okay', 'ok'): 1, ('amazing', 'great', 'okay'): 1, ('nice', 'amazing', 'great'): 1, ('good', 'nice', 'amazing'): 1, ('good', 'good', 'nice'): 1, ('brilliant', 'good', 'good'): 1, ('left', 'user', 'hands'): 1, ('user', 'hands', 'got'): 1, ('hands', 'got', 'ta'): 1, ('got', 'ta', 'precise'): 1, ('ta', 'precise', 'delay'): 1, ('precise', 'delay', 'big'): 1, ('delay', 'big', 'hit'): 1, ('big', 'hit', 'strike'): 1, ('hit', 'strike', 'long'): 1, ('strike', 'long', 'possible'): 1, ('long', 'possible', 'good'): 1, ('possible', 'good', 'job'): 1, ('good', 'job', 'anyway'): 1, ('job', 'anyway', 'good'): 1}"
