,Company,Review,Date,Rate
0,r888,"I love this site, great games, excellent customer service, you get the best value on sports, I have noticed that if you take an early price on the racing, to my amazement I have been paid at the price if it is greater than the early price I placed my bet. They ensure I gamble responsibly, there monitoring brings self awareness to my actions! On the whole I love it. Highly recommended",2023-02-11 05:23:34,4
1,r888,Horrible costumer service!!! I feel absolutely disgusted!!! I have got an account on UK and I opened another account in Romania as I'm in holiday and after some stupid rules like uploading my national I'd and soon after I've received another email telling me that I have to upload 2 photos of my card and all of that happened soon after I added the second time money into the game!!!! It has past almost 3 days and still nothing!!! It is absolutely ridiculous they my money are still blocked in!!!,2023-01-03 16:52:22,1
2,r888,100% Cheating. It's not a free game. Deposit must. All the Games are fixed. Number one cheating games below. 1. Crazy time 2. Extreme Lightening Roulette 3. Lightening Roulette. I wonder how they got licence from the Government . They never allow you to win and you cannot win more than your deposit. They will collect all your money and give you back with small winnings. Guys please be aware of this game. If you wanna lose your money and time then go for it. Otherwise block this game. Thanks.,2022-10-04 13:12:00,1
3,r888,Doesn't work. Terrible controls on setting up. Once logged in the free money to play with is hard to spot (it's in notifications) and you can only play it with certain games - none of which would load and you just get error messages. Don't waste your time. I deleted it without playing one game.,2020-06-16 05:19:10,1
4,r888,"Awful payouts, no win after playing over £800. Bonus games are pre determined, the daily genie wish roulette does not even allow you to spin, game gets frozen then you go to your account and the reward is already there?! Played other online slots games before and this never happened, games and bonuses were always on show and did not 'just appeared' in my account. Not worth your money, there are other options out there that actually pay out. You can enjoy and not loose all your money elsewhere.",2022-11-17 16:50:42,1
5,r888,"Low payouts, had a few when 1st used then just swallows all cash deposited. Also free daily spins don't work after a while. Even when deposited minimum cash required, the opinion too use spins on cash deposited works but not free daily spins. Been 3/4 days and nothing. Happily takes and drains cash though. Edit.... been 4/5 days now and customer support is far from helpful. They don't care for there customers, just their money. Scammers",2023-01-23 19:10:55,1
6,r888,"Definitely not entertaining, played for 2ours not one win. Worst site out there. And all you can do is have a automated response and shows you don't even look at the complaints,I didn't complain about losing money, I complained about the entertainment value, as for stats, depends where or what you read and who you trust,how much trust I put in 888 ...",2023-02-01 15:59:42,1
7,r888,Ok when it works. When playing some of the slot machines the app just crashes whilst in the middle of a game. Super annoying. The only way to get back into it is close the app completely and reload. 10+ times today. Also get a message saying i have no Internet connection when i do.,2020-05-12 15:29:11,2
8,r888,Costly. At first it was great and the odds seemed fair. Spend a bit then eventually win a bit. Now I have spent far too much money and have gained very little back. It seems to be on a refusal to pay out no matter how many times you play/pay (I liked the slot machine games and paid ridiculous amount 4 no fair/even decent return on the same game) that's me done. PAID the game long enough to never see the bonus rounds that should have came. I'm out. Plenty more casinos to give my money to.,2020-02-03 16:48:31,1
9,r888,"runs really badly, slow and jerky. im on a samsung s10. app doesnt size to screen, games run slow, even clicking things there is massive lag. also selected a game and it took me to something completely different. glad i onky tested it with free cash and not my own. will be sticking with bet365 app which runs perfectly and has good payouts.",2019-07-07 14:36:17,1
10,r888,"Utter farce of a company. Still waiting to return initial deposit after nearly a week of back and forth over verification. Happy to let you set up banking and make deposit to claim offer. Then lock you out for a week whilst you still retain no access to your money. Ridiculous. Would not recommend. All these 1 star reviews, they have officially taken my money against their own advice, and sent us all an email that is largely blocked from receipt from most carriers. Jokers",2022-12-11 13:29:28,1
11,r888,"Not correct size for mobile phone. This people start to control the slots very badly. Been playing over 3 months and they keep holding my money pretend the bonus will be lost. When deposit £100 why they hold it? Stop control the slots, it is impossible not to win even £10 after 3 months of playing.",2022-12-20 22:13:40,1
12,r888,Deal or no deal slingo. Doesn't matter what box you pick its pre determined what's in it before the game starts. And even then I'm about 90% sure that it goes on what you do weather you deal or not. Games rigged. Must have spend around £100 on this £1 play game and not once have I had the £50 top cash prize in my box,2022-11-04 09:58:31,1
13,r888,"I signed up for the £88 free play, and then 100% first deposit bonus. I actually made a decent win, wagered enough to unlock the bonus funds to real cash and won £1039!! Generally a good experience so far. Though I have had a few slots being low performance and few connection issues. (connection issues pickup from where you left off and reward your win if you got one) Suggestion : When you've had a disconnect, preserve wager settings, sometimes it resets and cost me a fiver lol.",2020-03-15 11:39:45,4
14,r888,"where to start?? app is completely useless every game i wanted to play it came up error and wouldnt load i had to go to my browser and play there, the 88 pounds you get to try out the app disappears after u reach a tenner in winnings and thats what you have to play with not 88 as stated and even then some of the games wont let u play with the ""free"" money. there's no incentive to put in real money. deleted!",2021-04-08 15:27:17,1
15,r888,"Disgusting experience on 888 casino! I have made 10 deposits of £10+ now and won nothing back, but this is not due to my gambling strategy, it is because the app crashes and auto play turns on.. well, automatically!! It's a disgrace that they are taking players money at their own expense. Their customer service have done nothing to help me out so far. DO NOT INSTALL.",2020-01-31 11:03:20,1
16,r888,"Terrible scammers, deposited £40 and supposedly had £88 of free credit for casino/slots...however once you drop to £40 it takes from the money you deposited, still have £21 credit but can't access account and have changed password /username etc , check other people's experience on Facebook page and you will find a lot have the same as me where they can't access their account and withdraw credit.quite apparent that 888casino are fraudulent, have complained and heard nothing,please do not use",2020-05-09 05:42:06,1
17,r888,"Avoid! Signed up with £20 and £20 bonus, used £20, it then notified me I was now using the bonus... Fair enough. Got it up over £300 and it would not allow me to withdraw. Said I had to wager around £580 to be able to withdraw bonuses. A green bar supposedly shows progress, yet it had barely moved a mm on the screen. Surely to withdraw the bonus I don't have to wager that amount in a single bet? If it means overall bets, I think your green progress bar is broken. A proper kick in the teeth 😂",2020-10-08 15:29:42,1
18,r888,"Abysmal at best, disabled account AFTER depositing. First you don't get all of your 'free spins' only up to £10 which is bonus money. They then ask you to deposit which I did for them to immediately temporarily disable my account. They asked for proof of ID so I sent a photo of my Driving licence but now they want a photo of my PayPal account and a bill which I don't pay the bills so can't provide so you have literally just conned me into depositing £10 which I can't use or get back. What a Joke",2022-01-31 17:09:13,1
19,r888,"I was playing on hypernova megaways and got a bonus. On the bonus there was already about 60-70 pounds and still going but then an error came up and when I went back into the game for my bonus, it was gone. I have contacted there support without any luck. Please fix this, it has been over a week nearly as I have won that money fair and square. My username is Magda4501.",2020-04-01 06:21:28,1
20,r888,"Didn't win anything after £60 of play, I understand cant win on everything but wasnt even paying out to just keep me playing for a bit either, so 60 gone, in about 20mins of playing. Games are awkward and kept kicking me off the app when I tried to go back home and play another game.. wont be depositing again was really boring and confusing as ads kept popping up everywhere too!",2020-02-22 08:29:46,1
21,r888,"Absolutely disgusting, over a thousand spins at £1 a go without a single bonus, seriously!? I would say its a scam but that would give scams a bad name. The programme is not random in any way, it is specifically set to lose. Oh and queue some pathetic response shortly saying why don't you talk to us about the issues you have had. Will not be using again, will not be recommending to anyone, play virgin games or party casino instead, far better platforms.",2022-04-29 11:35:33,1
22,r888,"Contacting customer service is a nightmare. You do it through the app so youd think it would be easy. No chance. It lags, doesn't respond, can't attach a file. Awful. Guess that's to make it impossible to delete your account, which you HAVE to contact them to do. Never again",2021-10-16 04:32:19,2
23,r888,"Thieves. They let you register and deposit your money but then deny you access to your account entirely with no explanation. The support (if you can call it that) is completely useless and the response time for replies would be faster by carrier pigeon. Stay clear at all costs if you don't want to be robbed 👌 can't even say if the games are any good as I've not been allowed to spend my money or even the bonus 888 should be shut down, end of",2020-09-07 06:07:37,1
24,r888,"Absolute rubbish. Lost over £100 with no decent wins at all. Played the same game on nearly every app and never ever gone past about £20 without getting the ""mega spins"" feature, yet on 888, that's not come up in 100 quid Also the ""free play"" is a con. I won £40 with my bonus and I would have to wager over £1000 to get that paid out! A grand?! What an absolute joke. On other places if you win more than your bonus it goes into withdrawable money, but not here. Shocking. Don't use",2021-03-25 19:28:23,1
25,r888,"This is dodgy. Never had a 888 casino account so signed up with the £88 free bet in mind. As I signed up my free bet wasn't there (a random ""free 30 spins was"" was in my account though) I went to the support page as there's a time limit to raise an issue with your welcome bonus - on both my phone and laptop the page mysteriously just doesn't work and you have to scroll down to confirm your support request, but in neither platforms does the page actually allow you to. Will update review if fixed",2020-11-20 23:43:35,1
26,r888,"Just started playing this site, Ive done a money match and have been playing. Suddenly my account was locked so can't get in at all. I have money in the account and can't withdraw as they ask for ID to be sent. I've done this and still waiting. I strongly advise not to download or play this app so you don't receive the same problems.",2021-08-30 06:55:59,1
27,r888,Absolute rubbish. The app is garbage and the games are based on how much you deposit. You might get a small win but as soon as you do it will be lose lose lose until you deposit again. There are much better casino apps out there with better bonuses that are actually worth depositing for.,2020-09-15 14:40:43,1
28,r888,Avoid! Not like other gambling sites. Free sign up bonus comes with to many terms and conditions. No first deposit bonus on anything under £20. It then took me 4 days to withdraw £19. I had to contact them to release the payment. So many other sites that give you better rewards and instant pay.,2021-09-13 08:59:14,1
29,r888,"welcome bonus is rubbish, £88 free spins but to claim any of it you need to win like £500,000 or something silly. I also didn't receive it straight away because of some checkbox or something in registration but the support staff sorted that out quickly. Didn't play enough to know how good odds are, but seemed good. Only reason I didn't stick around is the cashout takes days and can be cancelled at any time. FAR too easy to show weakness and gamble away all your winnings.",2018-12-22 10:41:36,4
30,r888,"The app is unstable, half the time it won't boot and says 'no internet commection' then once you're in a pop up appears at the top of the app to ""download 888 casino app"" which cant be closed and therefore can't access the menu for the games (closing and opening the app several times works) although I did deposit £20 got 100% back on top, the £88 free didn't work because it said I'd already claimed it even though it was the first time I clicked the link, won £180 though",2020-04-17 06:18:39,2
31,r888,"The information on site is not clear about extra bonus and the option to play from your own invested money is made in a background, automatically with just a short massage appearing and disappearing soon after on the top of the screen. I was left with loosing all my £60 invested and bonus balance, which I couldn't even pay out due to stupid requirements. I would definitely not recommend this App to anyone and instead would propose Monopoly Casino App, which is at least fair and honest. Disgusted",2021-03-20 21:03:12,1
32,r888,"All my bonus on my 888sport are blocked because i clicked a link for a casino bonus that i thought was part of 888sport. Registered, app crashed, blocked from both sites for a week. Got an email.saying im unblocked but I still dont qualify for any new customer bonus. Don't constantly tempt people with stupid casino ads if you dont want them to use them!",2022-01-31 21:14:08,1
33,r888,"App is horrible to navigate. (Note 10) Side note: never received email for deposit bonus, which i dont understand why they send an email instead of just transferring it straight to your balance; like every other company, and you only have 48hours to redeem it if you receive it",2020-08-09 08:28:20,1
34,r888,"Terrible app ,makes you sign up with the pretense of £88 free without deposit, it then makes you wait nearly 2 days until you get the bonus because it's got to check the proof of address documents that you have to provide and believe me it's a struggle to upload them.then after alllllll the messing around in emails etc. you go into your so called 88 pound bonus and it throws you out the game and palms you off with a tenner before your bonus money actually runs out and you still can't cash out .",2022-03-04 16:59:52,1
35,r888,"First verified identity, 2nd proof of address, now they asked for proof of income, it's has been submitted but still pending! I'm not sure why it's not take longer time to verify a document! There is no restrictions when you make a deposit, even they don't ask for anything! But when you make an withdrawal, problem starts bro! Ha ha ha",2022-08-06 01:18:57,1
36,r888,"Awful pay outs, not worth the free spins. In the 88 free spins the app offers you, (10p per spin) I won a whopping £2.70 With the 2.70 I landed a feature win offeringbn 10 free spins. In the 10 free spins I actually won nothing. Not a single a hit. Never have I played a slot machine, landed a feature win, and then never won anything. Avoid like the plague.",2022-06-23 14:35:02,1
37,r888,"Absolute Con Artists . Do not use Told to deposit £20 and would get £115 in free play funds . Did this and quickly won £50 . I thought this is great ! ( some incomprehensible message came up , saying I had reached my winnings limit ! ) I carried on playing with my credit ...no winnings were being applied ! Had to use my "" real cash "" ...this quickly disappeared and the £85 I had left in free credit was also gone ....as they tell me ...winnings are capped at £50 ! ...An absolute scam . Thieves!",2019-05-09 14:53:41,1
38,r888,"Extremely boring fruit machines. I've never used online casinos before, but I was promised £88 of free chips, which I got, but you're only allowed to win £15 with it. 🤷🏻‍♂️ You basically turn on your fruit machine to run on it's own, because you can't interact with it. Then when it reaches £15 big ones, it tells you that's the max you're allowed to win with the free money. Even then, I would have won a whole lot more, I had over £60 left when it told me I'd reached the maximum. Weak af.",2020-05-21 02:50:40,2
39,r888,I got my free £88 (where the maximum amount to win is £15 and then that's what your bonus amount is). The problem is I have no idea how much to wager in order to actually win anything for real. Do I have to put real money in to actually win anything from the bonus? From that £15 I have made it to £200 with lots of wagering but I still can't withdraw anything. Other than that the experience is okay,2020-12-30 17:24:32,3
40,r888,The front end of this app works perfectly on my device so I deposited some funds to play. Upon trying to use said funds I discover the slots simply will not load. After performing all the usual tricks to improve app performance it still would not load. I decide to give up as there are other apps that work and try to withdraw my funds(no bonus was applied so that isn't an issue) only to discover the minimum withdrawal is more than I deposited. Live chat then cut me off. Awful experience.,2020-04-29 12:05:39,1
41,r888,"The house always wins. The 88 pound is in free bet credits so no matter how much you win from that (I won £115) you can't withdraw it, I put 20 pound on, lost it on 4 £5 games of blackjack, without a win as it takes it straight out of your cash before moving onto your essentially useless bet credits, don't install the app unless you fancy losing some money",2021-02-01 23:23:15,1
42,r888,"If I could give a zero I would do not install this app as 888 casino is a scam, after a couple of days I received £88 of free spins but it turned out to be £23 of free spins. When I got down to £65 left in free spins it popped up and said that I had used all of my free spins, I was going to add credit until then. I emailed them twice about this and received no response. If I was you I would go with any other casino app and steer clear of this company at all costs.",2020-12-22 07:52:26,1
43,r888,I liked the game at the beginning but not anymore. I lost allot more then I win and does not ever let you win more then 100 so what's the point play for tips if you can buy a scratch card and se if you lucky for 2 pound but no here is minimum 20 pound deposit and less chance to win. Just my experience!,2019-06-14 05:02:11,1
44,r888,Really annoying. Like I'm sure alot of other people the app is no longer recognising the fact that I am in the UK. Iv tried everything to sort it and even emailed the 888 team. All that they suggested was to re-install the app which I have done numerous times. I used to enjoy 888 casino but as of late I'm just really annoyed with it picking and choosing when it's going to realise that I'm not in some restricted country.,2021-06-03 12:08:50,2
45,r888,"Now, for the people saying you didn't get the £88 free, you're probably just morons and don't read how it works first, including the max win from said £88 pounds as £15 quid which you can then play on games and try and build it up (I'd recommend the Irish game). Now, I did that, got it up to £145 quid, tried to withdraw, got the obligatory ""send us id"", no problem, did that, 3DAYS to check a picture, verified now yet still another 4 days and no money. Stick with skyvegas. INSTANT WITHDRAWALS.",2019-09-21 04:51:25,3
46,r888,Pay to win. Put 30 in got 20 bonus went on to win over £300 thinking I'm gonna be able to actually get the money back. Ends up being I've won all this money but it's 'Bonus Winnings' which in a term is ridiculous because you don't win anything from that onwards. Just make you think you win but you don't. I'm extremely disappointed in this and thought 888 would do a better job in allowing winnings to be withdrawn. Won't be playing again.,2020-07-12 04:47:38,1
47,r888,"What a joke keeps stopping and then when you do get to play a slots machine(Beat the beast,mighty sphinx)had over £300 in winnings with free spins then surprise,surprise it just stops. When I final get back on no sign of the slot machine or my winnings and game history only shows me having a couple of turns on it. Total RIP off. You can't even withdraw winnings what's the point might as well just go on the apps that are none gambling sites and just for fun.",2020-04-16 11:41:06,1
48,r888,"Awful please avoid, this isn't about losses or winnings. Having played many different casinos for fun mostly. Have to say the app is very slow and laggy. I won't recommend other apps as this review is not against 888 itself. Just impossible to play the games you want without it saying you have no Internet or internal issues. It gets frustrating. If this were fixed I'd happily improve rating. Managed to deposit then couldn't load a game without lag. So withdrew the funds and had fun elsewhere.",2020-08-09 19:21:11,1
49,r888,"Once to add you money it kicks you out as you have to send identification. I understand needing the ID. But why not ask for this before asking for money to be added. I now have money stuck that I can't play with and its going to take 48 hours to get access to the account. I only put it on the pass the time that evening. Not best pleased. For the record, virgin, tombola etc all allow you to play your games and only ask for ID if you want to withdraw.",2021-02-24 07:12:20,2
50,r888,"Had left an earlier review bemoaning the withdrawal timeframes but it was probably my own fault. I had not verified my account but as soon as I did my withdrawal was processed very soon after and am amending it now. So hands up on that one and I had said the app itself is excellent. The best selection of games on this app and I've had a couple of nice payouts so RTP seems genuine. Good interface, never crashed on me and overall a really slick app.",2021-08-12 11:23:35,5
51,r888,"Good games and all but you get your free bonus and you must have to win thousands before any of it becomes your own! Got given 20 pounds went up to 80 down to 30 up too 100 down to 20 back up to 110 and not once was I allowed to take it out the ""bonuses"" are fake or may as well be",2019-09-16 23:19:53,2
52,r888,Won a bit of cash when I first signed up and deposited but since then it's all been downhill. Teases with the in game bonuses but never come up so the balance is eaten so quick. Not many of the games actually work either. Wouldn't call it a scam but it is odd how you seem to win at first then Jeff all 🤔,2020-09-04 05:18:52,2
53,r888,"What they don't tell you is that if you get a win with your freeplay money, you CANNOT withdraw it until you have wagered 600x the original deposit that activated the freeplay money. So , I deposited £20 n got £20 free. The REAL money goes first , which is sneaky too as is spent £20 just trying the diff games. By the time I was used to the app and games , I was in the freeplay money. I have winnings from roulette on there, I will not get them until I've deposited £1200 in real money!!! Cowboys.",2021-11-16 22:00:27,1
54,r888,"Wouldn't bother with the site , app or support I had a temporary break set , when it was over , I contacted them to reopen my account. Margot a (representative) completely shut my account down on her own will , there was no misunderstanding I have it all in English. The problems went from me collecting £1800 from £10 deposit I would not recommend 888 ever",2021-10-01 23:10:11,1
55,r888,"If I could give this zero stars I would. Absolute con, you hardly ever get a bonus game and when you do you'll be lucky to win your stake back. My advice is to play with any other gambling apps. Might as well just burn your money if you're thinking of using this. Before you comment you normal generic BS response don't bother. 100% rigged so you'll never win more than you deposit.",2022-10-28 20:40:29,1
56,r888,"Look, gambling is not a good thing. However, if you have self control, are OK at poker and want to play for fun this is the casino I have seen that continues to Give you free stuff. It never stops. I have won about $300 worth of free money. Free tournaments are every day and there are atleast 10 a day. Some tickets are worth $2. The other day I almost won $1200 ticket. I won $1 today for. Free. And $8 yesterday no deposit...",2021-12-13 13:57:29,5
