,Company,Year,Rate,Word,Pair,Tri
0,skybet,2017,1,"{'app': 15, 'sky': 8, 'tried': 7, 'location': 6, 'bet': 6, 'even': 5, 'use': 5, 'log': 5, 'load': 5, 'stop': 5, 'still': 4, 'let': 4, 'wo': 4, 'open': 4, 'one': 3, 'give': 3, 'keep': 3, 'asking': 3, 'joke': 3, 'betting': 3, 'uk': 3, 'ca': 3, 'paypal': 3, 'able': 3, 'work': 3, 'wont': 3, 'time': 2, 'impressed': 2, 'would': 2, 'another': 2}","{('sky', 'bet'): 3, ('ca', 'connect'): 2, ('keeps', 'asking'): 2, ('paypal', 'deposits'): 2, ('wo', 'open'): 2, ('even', 'load'): 2, ('disgusting', 'treatment'): 1, ('treatment', 'staff'): 1, ('reported', 'online'): 1, ('week', 'reported'): 1, ('twice', 'week'): 1, ('get', 'twice'): 1, ('lucky', 'get'): 1, ('everyday', 'lucky'): 1, ('use', 'everyday'): 1, ('available', 'use'): 1, ('free', 'available'): 1, ('machine', 'free'): 1, ('got', 'battery'): 1, ('launch', 'machine'): 1, ('battery', 'drain'): 1, ('drain', 'message'): 1, ('rewards', 'ie'): 1, ('called', 'rewards'): 1, ('bet', 'called'): 1, ('message', 'disgusting'): 1, ('staff', 'sky'): 1, ('ie', 'launch'): 1, ('online', 'support'): 1, ('message', 'also'): 1}","{('lots', 'trouble', 'app'): 1, ('ie', 'launch', 'machine'): 1, ('reported', 'online', 'support'): 1, ('week', 'reported', 'online'): 1, ('twice', 'week', 'reported'): 1, ('get', 'twice', 'week'): 1, ('lucky', 'get', 'twice'): 1, ('everyday', 'lucky', 'get'): 1, ('use', 'everyday', 'lucky'): 1, ('available', 'use', 'everyday'): 1, ('free', 'available', 'use'): 1, ('machine', 'free', 'available'): 1, ('launch', 'machine', 'free'): 1, ('rewards', 'ie', 'launch'): 1, ('support', 'give', 'long'): 1, ('called', 'rewards', 'ie'): 1, ('bet', 'called', 'rewards'): 1, ('sky', 'bet', 'called'): 1, ('staff', 'sky', 'bet'): 1, ('treatment', 'staff', 'sky'): 1, ('disgusting', 'treatment', 'staff'): 1, ('message', 'disgusting', 'treatment'): 1, ('drain', 'message', 'disgusting'): 1, ('battery', 'drain', 'message'): 1, ('got', 'battery', 'drain'): 1, ('also', 'got', 'battery'): 1, ('online', 'support', 'give'): 1, ('give', 'long', 'taking'): 1, ('demands', 'location', 'constantly'): 1, ('rubbish', 'could', 'give'): 1}"
0,skybet,2017,2,"{'app': 13, 'time': 9, 'bet': 8, 'use': 7, 'log': 7, 'please': 6, 'deposit': 6, 'much': 5, 'android': 5, 'every': 5, 'bets': 5, 'fingerprint': 5, 'click': 4, 'paypal': 4, 'would': 4, 'pin': 4, 'play': 4, 'notifications': 4, 'want': 4, 'get': 4, 'put': 4, 'update': 4, 'place': 3, 'browser': 3, 'take': 3, 'even': 3, 'option': 3, 'slow': 3, 'ios': 3, 'betting': 3}","{('every', 'time'): 5, ('time', 'want'): 3, ('use', 'app'): 2, ('push', 'notifications'): 2, ('betting', 'app'): 2, ('deposit', 'limit'): 2, ('please', 'please'): 2, ('notifications', 'android'): 2, ('return', 'app'): 1, ('freezes', 'return'): 1, ('pay', 'freezes'): 1, ('click', 'pay'): 1, ('log', 'click'): 1, ('browser', 'log'): 1, ('default', 'browser'): 1, ('open', 'default'): 1, ('thought', 'would'): 1, ('wants', 'open'): 1, ('work', 'wants'): 1, ('sudden', 'work'): 1, ('years', 'sudden'): 1, ('paypal', 'years'): 1, ('used', 'paypal'): 1, ('working', 'used'): 1, ('paypal', 'working'): 1, ('good', 'paypal'): 1, ('lost', 'good'): 1, ('find', 'lost'): 1, ('long', 'find'): 1, ('take', 'long'): 1}","{('every', 'time', 'want'): 3, ('thought', 'would', 'able'): 1, ('years', 'sudden', 'work'): 1, ('return', 'app', 'tried'): 1, ('freezes', 'return', 'app'): 1, ('pay', 'freezes', 'return'): 1, ('click', 'pay', 'freezes'): 1, ('log', 'click', 'pay'): 1, ('browser', 'log', 'click'): 1, ('default', 'browser', 'log'): 1, ('open', 'default', 'browser'): 1, ('wants', 'open', 'default'): 1, ('work', 'wants', 'open'): 1, ('sudden', 'work', 'wants'): 1, ('paypal', 'years', 'sudden'): 1, ('users', 'get', 'android'): 1, ('used', 'paypal', 'years'): 1, ('working', 'used', 'paypal'): 1, ('paypal', 'working', 'used'): 1, ('good', 'paypal', 'working'): 1, ('lost', 'good', 'paypal'): 1, ('find', 'lost', 'good'): 1, ('long', 'find', 'lost'): 1, ('take', 'long', 'find'): 1, ('play', 'take', 'long'): 1, ('bets', 'play', 'take'): 1, ('users', 'bets', 'play'): 1, ('android', 'users', 'bets'): 1, ('app', 'tried', 'numerous'): 1, ('tried', 'numerous', 'times'): 1}"
0,skybet,2017,3,"{'app': 29, 'notifications': 16, 'like': 15, 'good': 15, 'get': 14, 'bet': 14, 'would': 9, 'screen': 8, 'times': 8, 'bets': 7, 'betting': 7, 'sometimes': 7, 'cash': 7, 'still': 7, 'time': 7, 'also': 6, 'needs': 6, 'ca': 6, 'ok': 6, 'sky': 5, 'update': 5, 'log': 5, 'load': 5, 'need': 5, 'annoying': 5, 'android': 4, 'really': 4, 'great': 4, 'site': 4, 'offers': 4}","{('good', 'app'): 8, ('would', 'like'): 3, ('get', 'notifications'): 3, ('every', 'time'): 3, ('sky', 'bet'): 3, ('bit', 'clunky'): 3, ('really', 'good'): 2, ('compared', 'others'): 2, ('easy', 'use'): 2, ('also', 'needs'): 2, ('ca', 'get'): 2, ('better', 'like'): 2, ('app', 'notifications'): 2, ('auto', 'tilt'): 2, ('nearly', 'always'): 2, ('app', 'works'): 2, ('times', 'would'): 2, ('notifications', 'bets'): 2, ('mobile', 'site'): 2, ('enter', 'pin'): 2, ('app', 'wrapper'): 2, ('good', 'site'): 2, ('clunky', 'times'): 2, ('app', 'would'): 2, ('really', 'annoying'): 2, ('slow', 'times'): 2, ('like', 'ios'): 2, ('like', 'new'): 2, ('like', 'apple'): 2, ('screen', 'rotation'): 2}","{('bit', 'clunky', 'times'): 2, ('bad', 'bit', 'annoying'): 1, ('says', 'placed', 'bet'): 1, ('request', 'bet', 'never'): 1, ('bet', 'never', 'get'): 1, ('never', 'get', 'notifications'): 1, ('get', 'notifications', 'priced'): 1, ('notifications', 'priced', 'need'): 1, ('priced', 'need', 'add'): 1, ('need', 'add', 'times'): 1, ('add', 'times', 'says'): 1, ('times', 'says', 'placed'): 1, ('placed', 'bet', 'still'): 1, ('platform', 'create', 'request'): 1, ('bet', 'still', 'things'): 1, ('still', 'things', 'need'): 1, ('things', 'need', 'fixing'): 1, ('need', 'fixing', 'cash'): 1, ('fixing', 'cash', 'nearly'): 1, ('cash', 'nearly', 'always'): 1, ('nearly', 'always', 'suspended'): 1, ('always', 'suspended', 'especially'): 1, ('suspended', 'especially', 'acca'): 1, ('especially', 'acca', 'seems'): 1, ('create', 'request', 'bet'): 1, ('android', 'platform', 'create'): 1, ('seems', 'well', 'issue'): 1, ('could', 'android', 'platform'): 1, ('closes', 'account', 'looking'): 1, ('account', 'looking', 'bets'): 1}"
0,skybet,2017,4,"{'app': 95, 'good': 66, 'great': 34, 'easy': 33, 'use': 32, 'like': 27, 'bets': 26, 'would': 25, 'bet': 24, 'betting': 23, 'better': 19, 'notifications': 16, 'cash': 14, 'sky': 14, 'odds': 13, 'get': 12, 'sometimes': 11, 'could': 11, 'bit': 10, 'decent': 10, 'though': 10, 'annoying': 10, 'live': 10, 'best': 9, 'site': 9, 'slow': 9, 'games': 9, 'times': 9, 'play': 9, 'love': 9}","{('easy', 'use'): 21, ('good', 'app'): 20, ('great', 'app'): 15, ('app', 'easy'): 10, ('betting', 'app'): 10, ('sky', 'bet'): 10, ('use', 'good'): 7, ('easy', 'navigate'): 6, ('app', 'like'): 6, ('would', 'like'): 5, ('decent', 'app'): 5, ('slow', 'loading'): 4, ('much', 'better'): 4, ('notifications', 'android'): 4, ('cash', 'outs'): 4, ('app', 'works'): 4, ('pretty', 'good'): 4, ('could', 'better'): 4, ('app', 'good'): 4, ('would', 'nice'): 3, ('one', 'best'): 3, ('app', 'decent'): 3, ('goal', 'notifications'): 3, ('best', 'betting'): 3, ('bit', 'slow'): 3, ('good', 'betting'): 3, ('app', 'great'): 3, ('good', 'great'): 3, ('placing', 'bet'): 3, ('works', 'well'): 3}","{('app', 'easy', 'use'): 7, ('easy', 'use', 'good'): 6, ('use', 'good', 'app'): 4, ('good', 'app', 'easy'): 4, ('app', 'works', 'well'): 3, ('good', 'app', 'like'): 3, ('app', 'great', 'app'): 3, ('good', 'betting', 'app'): 3, ('keep', 'going', 'back'): 2, ('app', 'one', 'best'): 2, ('good', 'app', 'great'): 2, ('great', 'app', 'easy'): 2, ('app', 'decent', 'app'): 2, ('betting', 'app', 'decent'): 2, ('apps', 'easy', 'use'): 2, ('easy', 'use', 'great'): 2, ('great', 'app', 'like'): 2, ('option', 'bets', 'placed'): 2, ('sometimes', 'fails', 'show'): 1, ('view', 'use', 'sky'): 1, ('quick', 'bet', 'otherwise'): 1, ('bet', 'otherwise', 'great'): 1, ('otherwise', 'great', 'app'): 1, ('bet', 'time', 'accounts'): 1, ('sky', 'bet', 'time'): 1, ('use', 'sky', 'bet'): 1, ('great', 'app', 'generally'): 1, ('app', 'generally', 'would'): 1, ('get', 'quick', 'bet'): 1, ('click', 'view', 'use'): 1}"
0,skybet,2017,5,"{'app': 363, 'great': 220, 'easy': 169, 'use': 158, 'good': 151, 'best': 122, 'betting': 120, 'bet': 51, 'love': 43, 'brilliant': 38, 'excellent': 38, 'quick': 37, 'odds': 37, 'bets': 37, 'site': 29, 'fast': 24, 'used': 22, 'well': 22, 'sky': 22, 'like': 21, 'better': 21, 'cash': 21, 'free': 20, 'far': 18, 'really': 18, 'apps': 17, 'one': 16, 'works': 16, 'win': 16, 'money': 15}","{('easy', 'use'): 122, ('great', 'app'): 114, ('betting', 'app'): 66, ('app', 'great'): 50, ('good', 'app'): 45, ('best', 'betting'): 43, ('app', 'easy'): 38, ('app', 'good'): 27, ('use', 'great'): 26, ('best', 'app'): 18, ('use', 'good'): 17, ('app', 'best'): 15, ('sky', 'bet'): 14, ('brilliant', 'app'): 13, ('app', 'use'): 13, ('use', 'best'): 13, ('quick', 'easy'): 12, ('app', 'used'): 11, ('excellent', 'app'): 11, ('great', 'great'): 11, ('betting', 'site'): 11, ('app', 'love'): 11, ('good', 'odds'): 11, ('betting', 'apps'): 11, ('app', 'betting'): 10, ('app', 'brilliant'): 10, ('best', 'odds'): 9, ('one', 'best'): 8, ('great', 'betting'): 8, ('great', 'easy'): 8}","{('app', 'easy', 'use'): 34, ('best', 'betting', 'app'): 32, ('app', 'great', 'app'): 29, ('great', 'app', 'great'): 24, ('easy', 'use', 'great'): 22, ('great', 'app', 'easy'): 18, ('use', 'great', 'app'): 16, ('easy', 'use', 'good'): 14, ('easy', 'use', 'best'): 11, ('use', 'good', 'app'): 8, ('good', 'app', 'great'): 8, ('great', 'app', 'good'): 8, ('great', 'app', 'works'): 7, ('app', 'good', 'app'): 7, ('great', 'app', 'love'): 6, ('use', 'best', 'betting'): 6, ('quick', 'easy', 'use'): 6, ('best', 'betting', 'site'): 6, ('best', 'app', 'betting'): 6, ('easy', 'use', 'app'): 6, ('betting', 'app', 'used'): 6, ('betting', 'app', 'great'): 6, ('great', 'easy', 'use'): 6, ('app', 'best', 'betting'): 6, ('betting', 'app', 'good'): 5, ('site', 'great', 'app'): 5, ('really', 'easy', 'use'): 5, ('easy', 'use', 'easy'): 5, ('great', 'betting', 'app'): 5, ('betting', 'app', 'far'): 4}"
0,skybet,2018,1,"{'app': 94, 'bet': 26, 'use': 26, 'open': 26, 'wo': 26, 'ca': 24, 'work': 24, 'even': 23, 'location': 23, 'money': 22, 'get': 20, 'load': 19, 'constantly': 18, 'account': 17, 'time': 17, 'sky': 16, 'still': 13, 'try': 13, 'cash': 12, 'rubbish': 12, 'used': 12, 'update': 12, 'let': 11, 'keeps': 11, 'tried': 10, 'bets': 10, 'betting': 10, 'one': 10, 'win': 9, 'using': 9}","{('used', 'work'): 8, ('wo', 'load'): 7, ('app', 'wo'): 7, ('use', 'app'): 6, ('wo', 'open'): 6, ('even', 'though'): 6, ('wo', 'let'): 5, ('waste', 'time'): 5, ('find', 'location'): 5, ('even', 'open'): 5, ('constantly', 'freezes'): 5, ('sky', 'bet'): 5, ('customer', 'service'): 4, ('ca', 'even'): 4, ('keeps', 'saying'): 4, ('since', 'last'): 4, ('app', 'work'): 4, ('working', 'fine'): 4, ('ca', 'get'): 4, ('time', 'try'): 4, ('open', 'app'): 4, ('take', 'money'): 3, ('app', 'says'): 3, ('still', 'waiting'): 3, ('free', 'bet'): 3, ('try', 'log'): 3, ('deposit', 'money'): 3, ('account', 'suspended'): 3, ('ca', 'find'): 3, ('app', 'keeps'): 3}","{('app', 'wo', 'open'): 4, ('every', 'time', 'try'): 3, ('ca', 'even', 'open'): 3, ('even', 'open', 'app'): 3, ('still', 'wo', 'load'): 2, ('app', 'wo', 'load'): 2, ('even', 'though', 'location'): 2, ('loading', 'screen', 'uninstalled'): 2, ('fun', 'stops', 'stop'): 2, ('says', 'ca', 'find'): 2, ('used', 'work', 'fine'): 2, ('app', 'working', 'fine'): 2, ('since', 'last', 'update'): 2, ('ca', 'find', 'location'): 2, ('find', 'location', 'even'): 2, ('location', 'even', 'though'): 2, ('open', 'app', 'keeps'): 2, ('ca', 'use', 'app'): 2, ('go', 'onto', 'game'): 2, ('cheaters', 'good', 'customer'): 1, ('tried', 'still', 'joy'): 1, ('get', 'even', 'open'): 1, ('app', 'never', 'use'): 1, ('never', 'use', 'app'): 1, ('weekend', 'get', 'even'): 1, ('since', 'weekend', 'get'): 1, ('fine', 'since', 'weekend'): 1, ('working', 'fine', 'since'): 1, ('reason', 'working', 'fine'): 1, ('disappointing', 'reason', 'working'): 1}"
0,skybet,2018,2,"{'app': 51, 'bet': 22, 'ca': 17, 'work': 13, 'cash': 12, 'trying': 11, 'bets': 11, 'sky': 11, 'log': 10, 'location': 9, 'still': 9, 'freezes': 9, 'open': 8, 'money': 8, 'account': 8, 'load': 7, 'update': 7, 'keeps': 7, 'like': 7, 'sort': 7, 'play': 7, 'time': 7, 'takes': 6, 'keep': 6, 'take': 6, 'use': 6, 'annoying': 6, 'using': 6, 'always': 6, 'games': 6}","{('sky', 'bet'): 9, ('high', 'accuracy'): 4, ('log', 'even'): 3, ('lose', 'lose'): 3, ('app', 'wo'): 3, ('set', 'high'): 3, ('since', 'update'): 3, ('internet', 'connection'): 3, ('work', 'wifi'): 2, ('wo', 'open'): 2, ('time', 'using'): 2, ('ca', 'open'): 2, ('still', 'occurs'): 2, ('find', 'location'): 2, ('open', 'says'): 2, ('put', 'money'): 2, ('issues', 'every'): 2, ('cash', 'outs'): 2, ('please', 'sort'): 2, ('trying', 'bet'): 2, ('app', 'still'): 2, ('app', 'freezes'): 2, ('need', 'sort'): 2, ('sort', 'skybet'): 2, ('open', 'app'): 2, ('take', 'money'): 2, ('loss', 'cash'): 2, ('william', 'hill'): 2, ('betting', 'app'): 2, ('use', 'app'): 2}","{('set', 'high', 'accuracy'): 3, ('high', 'accuracy', 'app'): 2, ('william', 'hill', 'app'): 2, ('lose', 'lose', 'lose'): 2, ('app', 'wo', 'open'): 2, ('wifi', 'mobile', 'data'): 2, ('trying', 'open', 'location'): 1, ('keeps', 'trying', 'open'): 1, ('open', 'keeps', 'trying'): 1, ('wo', 'open', 'keeps'): 1, ('really', 'happy', 'app'): 1, ('happy', 'app', 'wo'): 1, ('location', 'connected', 'via'): 1, ('data', 'really', 'happy'): 1, ('wifi', 'data', 'really'): 1, ('load', 'wifi', 'data'): 1, ('app', 'load', 'wifi'): 1, ('accuracy', 'app', 'load'): 1, ('open', 'location', 'connected'): 1, ('freezes', 'time', 'looking'): 1, ('connected', 'via', 'broadband'): 1, ('us', 'set', 'high'): 1, ('broadband', 'app', 'fine'): 1, ('app', 'fine', 'awhile'): 1, ('fine', 'awhile', 'like'): 1, ('awhile', 'like', 'users'): 1, ('like', 'users', 'would'): 1, ('users', 'would', 'load'): 1, ('would', 'load', 'could'): 1, ('load', 'could', 'find'): 1}"
0,skybet,2018,3,"{'app': 63, 'bet': 18, 'bets': 17, 'use': 15, 'cash': 15, 'good': 13, 'get': 12, 'always': 11, 'keeps': 11, 'sky': 11, 'time': 11, 'could': 10, 'used': 10, 'location': 9, 'every': 9, 'great': 9, 'betting': 9, 'notifications': 9, 'better': 9, 'u': 9, 'easy': 8, 'would': 8, 'ok': 8, 'freezing': 8, 'like': 8, 'ca': 7, 'times': 7, 'slow': 7, 'play': 6, 'please': 6}","{('good', 'app'): 10, ('keeps', 'freezing'): 5, ('sky', 'bet'): 5, ('easy', 'use'): 5, ('asking', 'rate'): 3, ('using', 'app'): 3, ('betting', 'app'): 3, ('app', 'slow'): 3, ('betting', 'apps'): 3, ('version', 'app'): 3, ('app', 'always'): 3, ('great', 'app'): 3, ('app', 'use'): 2, ('really', 'easy'): 2, ('keeps', 'asking'): 2, ('teams', 'score'): 2, ('best', 'betting'): 2, ('find', 'location'): 2, ('much', 'better'): 2, ('deposit', 'u'): 2, ('app', 'updated'): 2, ('like', 'new'): 2, ('working', 'properly'): 2, ('trying', 'get'): 2, ('always', 'used'): 2, ('please', 'stop'): 2, ('u', 'sign'): 2, ('external', 'link'): 2, ('great', 'offers'): 2, ('works', 'fine'): 2}","{('stop', 'asking', 'rate'): 2, ('please', 'stop', 'asking'): 2, ('version', 'app', 'updated'): 2, ('used', 'sky', 'bet'): 2, ('always', 'used', 'sky'): 2, ('best', 'betting', 'app'): 2, ('unfortunately', 'keeps', 'freezing'): 1, ('internet', 'never', 'problem'): 1, ('wifi', 'fast', 'greatest'): 1, ('betfair', 'wifi', 'fast'): 1, ('problem', 'betfair', 'wifi'): 1, ('never', 'problem', 'betfair'): 1, ('unwatchable', 'shame', 'internet'): 1, ('shame', 'internet', 'never'): 1, ('greatest', 'app', 'could'): 1, ('makes', 'unwatchable', 'shame'): 1, ('seconds', 'makes', 'unwatchable'): 1, ('every', 'seconds', 'makes'): 1, ('freezing', 'every', 'seconds'): 1, ('constantly', 'freezing', 'every'): 1, ('fast', 'greatest', 'app'): 1, ('could', 'use', 'optimization'): 1, ('app', 'could', 'use'): 1, ('via', 'paypal', 'problem'): 1, ('app', 'would', 'better'): 1, ('rather', 'app', 'would'): 1, ('site', 'rather', 'app'): 1, ('via', 'site', 'rather'): 1, ('problem', 'via', 'site'): 1, ('paypal', 'problem', 'via'): 1}"
0,skybet,2018,4,"{'app': 141, 'good': 105, 'use': 68, 'easy': 67, 'great': 57, 'betting': 42, 'bet': 38, 'would': 32, 'bets': 28, 'best': 25, 'like': 23, 'could': 22, 'better': 21, 'cash': 20, 'get': 19, 'odds': 16, 'stars': 16, 'offers': 14, 'apps': 13, 'notifications': 13, 'one': 13, 'bit': 12, 'quick': 12, 'sky': 12, 'sometimes': 11, 'free': 11, 'really': 11, 'decent': 10, 'love': 10, 'play': 10}","{('easy', 'use'): 51, ('good', 'app'): 39, ('great', 'app'): 26, ('app', 'good'): 15, ('betting', 'app'): 15, ('app', 'easy'): 11, ('sky', 'bet'): 10, ('betting', 'apps'): 10, ('use', 'good'): 9, ('free', 'bets'): 8, ('best', 'betting'): 8, ('app', 'great'): 8, ('could', 'better'): 7, ('good', 'good'): 7, ('use', 'great'): 6, ('user', 'friendly'): 6, ('would', 'like'): 6, ('app', 'would'): 5, ('great', 'offers'): 5, ('sports', 'betting'): 4, ('like', 'app'): 4, ('app', 'although'): 4, ('use', 'app'): 4, ('good', 'odds'): 4, ('would', 'give'): 4, ('bets', 'good'): 4, ('placing', 'bet'): 4, ('request', 'bet'): 4, ('price', 'boosts'): 4, ('decent', 'app'): 3}","{('app', 'easy', 'use'): 10, ('easy', 'use', 'good'): 9, ('good', 'app', 'easy'): 7, ('best', 'betting', 'app'): 6, ('easy', 'use', 'great'): 5, ('good', 'app', 'good'): 4, ('app', 'good', 'app'): 3, ('great', 'app', 'easy'): 3, ('easy', 'use', 'app'): 3, ('good', 'betting', 'app'): 3, ('really', 'easy', 'use'): 3, ('good', 'easy', 'use'): 3, ('bets', 'good', 'app'): 3, ('great', 'app', 'great'): 3, ('good', 'app', 'simple'): 2, ('good', 'app', 'although'): 2, ('easy', 'use', 'needs'): 2, ('betting', 'app', 'iv'): 2, ('app', 'iv', 'used'): 2, ('sports', 'betting', 'apps'): 2, ('easy', 'use', 'nice'): 2, ('would', 'like', 'see'): 2, ('great', 'app', 'brilliant'): 2, ('app', 'great', 'app'): 2, ('app', 'simple', 'use'): 2, ('betting', 'app', 'good'): 2, ('app', 'great', 'offers'): 2, ('use', 'best', 'betting'): 2, ('best', 'betting', 'apps'): 2, ('use', 'good', 'offers'): 2}"
0,skybet,2018,5,"{'app': 952, 'great': 545, 'easy': 415, 'use': 397, 'betting': 331, 'good': 320, 'best': 293, 'love': 151, 'bet': 126, 'brilliant': 111, 'odds': 91, 'excellent': 80, 'sky': 78, 'better': 67, 'bets': 62, 'like': 61, 'site': 54, 'quick': 50, 'offers': 47, 'far': 46, 'used': 45, 'navigate': 43, 'one': 42, 'cash': 42, 'simple': 41, 'would': 40, 'really': 38, 'get': 37, 'well': 36, 'need': 36}","{('easy', 'use'): 287, ('great', 'app'): 278, ('betting', 'app'): 192, ('best', 'betting'): 134, ('app', 'great'): 110, ('app', 'easy'): 105, ('good', 'app'): 94, ('use', 'great'): 61, ('app', 'good'): 58, ('sky', 'bet'): 51, ('app', 'best'): 45, ('brilliant', 'app'): 40, ('use', 'good'): 36, ('easy', 'navigate'): 36, ('love', 'app'): 33, ('app', 'use'): 32, ('best', 'app'): 30, ('app', 'love'): 30, ('excellent', 'app'): 27, ('betting', 'site'): 27, ('use', 'easy'): 26, ('app', 'brilliant'): 25, ('great', 'betting'): 25, ('use', 'best'): 25, ('great', 'odds'): 25, ('betting', 'apps'): 23, ('use', 'app'): 22, ('best', 'odds'): 21, ('quick', 'easy'): 21, ('good', 'odds'): 19}","{('best', 'betting', 'app'): 110, ('app', 'easy', 'use'): 89, ('app', 'great', 'app'): 64, ('easy', 'use', 'great'): 50, ('great', 'app', 'easy'): 45, ('great', 'app', 'great'): 41, ('use', 'great', 'app'): 36, ('easy', 'use', 'good'): 30, ('easy', 'use', 'best'): 23, ('app', 'good', 'app'): 23, ('app', 'best', 'betting'): 21, ('betting', 'app', 'best'): 21, ('great', 'app', 'good'): 19, ('easy', 'use', 'easy'): 18, ('great', 'betting', 'app'): 17, ('betting', 'app', 'great'): 17, ('easy', 'use', 'app'): 16, ('app', 'brilliant', 'app'): 15, ('good', 'app', 'great'): 13, ('use', 'easy', 'use'): 13, ('great', 'app', 'love'): 13, ('good', 'app', 'good'): 13, ('good', 'app', 'easy'): 12, ('use', 'best', 'betting'): 12, ('betting', 'app', 'around'): 12, ('betting', 'app', 'easy'): 12, ('betting', 'app', 'use'): 11, ('best', 'betting', 'site'): 10, ('love', 'sky', 'bet'): 10, ('sky', 'bet', 'best'): 10}"
