Date,Review,Rate
2023-02-01,"I’m being bombarded with emails from this incompetent organisation! I have continually ‘unsubscribed’ but still the emails come…two or three per day!!I had an email from Justin (customer ‘services’) confirming I would receive no more but, guess what, another email the next day!Avoid this organisation unless you’re happy to be inundated with useless emails clogging up your inbox!",1
2023-01-26,I have been really pissed now. I have submitted my document on this website. My id has already been verified. It took me 5 working days to get my bank statement from my bank. They have not verified my document still it’s been 5 days now. All the chats say it’s under process. The workload is too much right. Dude it’s just one document. I already provided the my id. The second guy guys started this check drive.,1
2023-01-24,"So far I've found it to be quite a good site. Everything works fine and it's easy to use. The only problem is that if you'd want to withdraw you need to confirm your identity, okay… Fair enough, I did it and nothing… They've stated that it might take from 24h to 72h. After the 72h still nothing and it's still pending.",3
2023-01-24,"I signed up today, unknowingly I triggered a £50 bonus while on the site. No information was given on the bonus and so I used it as I have used bonuses on other sites. Unfortunately I found that rather than playing with the £50 bonus funds the site first used my real money funds, the opposite of many other sites. I therefore lost £50 of my own money without being informed that I was playing with real funds (which every other site does offer warnings for). I believe 888 is a criminal enterprise with the aim of fooling customers and deceiving them to make profit. Avoid at all costs.EDIT: Was asked to contact 888 following this review to which they gave me the same unhelpful copy and pasted response that I’d already received on their Livechat. Appaling service.",1
2022-12-20,Had a nice winner at 16/1 on the horses. Then had my account stake restricted to zero so I could no longer bet with them. They also refused to honour a £5 free bet which I was entitled to as a result of my win. When I queried this they said it was because I had withdraw some of my winnings. What else can I do with them if they won’t let me bet.  Not impressed.Edit: The pointless cut and paste response below is not helpful as I’m only leaving this review because their customer service team were no help.,1
2023-01-17,Wish I could say I had a great experience. I think there is cheating going on...because something just isn't right about the RNG but other then that. they weren't a bad site to play on.. graphics wise it has the potential to be the next pokerstars...,5
2023-01-02,Just a poor site been with them 3 weeks false advertising just take take ur money shud not be aloud to be a gambling site its a con site keep well away from this site con artists,1
2022-12-23,"Yet ANOTHER casino that takes issue with withdrawing. Everything works ok, until you make that cardinal sin & attempt to withdraw. Straight away, account restricted can’t login. Document request follows, you send off documents. Here nothing. Send another email hear nothing. It sickens me that so many casinos are getting away with this now a days. Take take take, but will do everything and anything to prevent paying out. For the the UKGC is not doing enough to protect UK players from these dodgy casinos. They sicken me to the core.",1
2022-12-15,I was enjoying my gambling and they asked was I OK with my gambling? I sent back reply but that wasn't good enough they suspended my account wanted to talk on phone. On my account I said contact only be Mail and they tried to ring so at this stage I told them again I was happy with my gambling again they said they need to talk to me in the end I said close my account because I wasn't going to take phone call.Then they said my account was suspended and don't use as if I was the one whom did wrong that they barred me. Also with their bonuses its very hard to withdraw money it takes for ever with waging. Sometimes you could be playing for a day before you have waged.,1
2022-12-14,"I have contacted them several times to file a dispute, and they have never responded!! The games have false pay out percentages as well as keep kicking you off to reset the game stopping you getting the bonuses. I have spent years playing online slots and know when they are cheating you. Avoid at all costs!!! I will be reporting them to the relevent standards agencies.",1
2022-12-22,bad customer service;if you email them you get automated reply that wrongly assigns your query and this continues before you eventually get a human response. Then when you reply to that you get automated reply that wrongly assigns your query again,1
2022-12-31,"They are really bad bookie. When you lost, it is ok. You win some money back, they lock your account without any reason. We should take them to the Court for unfairly doing.",1
2022-11-01,"The customer service experience has been horrible, the staff are poorly trained to answer your questions regarding your account, they are not aware of the promotions and the different tournaments available on the site. Keep getting the same promotion for 2 free roll even though there is only one event available, my tickets gone without an explanation, asked to speak to a manger told by the staff that a manger does not take calls on the spot. Waiting over 2 weeks for a manger call back and all I get from the staff when I call is stalling tactics and a couple blast tickets which is useless as the problem is still not resolved several days/weeks later. They need to train the customer service staff a lot better, as the ones I have dealt with there is only about 2 that knows what they are doing the rest us being paid to fill the space and give horrible customer service.Will be cutting my play time with 888 Poker and go somewhere else.",1
2022-12-01,"ROTTEN site. so many superusers and colaberating players, most of which are probably 888 staff.  this is the most compromised scamsoftware i have ever used. Run by a group of shameles criminals who posses neither honour or dignity. Dont make the same mistake as me- do yourself a favour and stay clear of this site and its bottom feeders. And to 888 staff- Be sure that karma WILL find youthe one star is only becaouse i cant give zero or minus stars",1
2022-11-29,They can have a clear telephone number you can ring when you have a problem which is easy to use.They are a good site to use when you are losing money and they pay quickly as well but trying to talk to someone is a joke they put a stop on your a/c if you do not send them your bank details/statements they leave you in limbo.,1
2022-11-03,Hi its been more then month I’m waiting for my refund 888 casino is ignoring my email I hope they see and solve my issue £2150 fund was in my account only £60 pound been refunded and I have received a message that the rest will be refunded wire account in 8 working days now it’s been more then a month please forward this issue to the account department and solve it thank you,1
2022-11-30,Help line was wonderful just now when I had made a mistake on a bet. I find their odds decent if not brilliant and their offers are very fair and easy to negotiate. I know they have other not so good reviews but I've been using them a couple of years and they have been fine for me.,5
2022-11-24,Just payed my 2nd visit to the site depositing £30 ended up winning £121 wanted to withdraw £100 but a message said I could only withdraw £98 as the remaining amount was a bonus! Bonus I lost because I withdrew some found that every odd !!!!!! Saying that the £98 was in my bank within minutes!,3
2022-10-26,"The most shocking company ever, i was warned by many not to trust this company, and now they have emailed me saying my verification documents were fine and my account will be open in 24 hours, this was 5 days ago, and now they are saying my documents are not ok to use, they have stolen my money, they have now been reported to the police, stay away from this company.",1
