,Company,Year,Rate,Word,Pair,Tri
0,www.betfair.com,2011,1,"{'sometimes': 3, 'know': 2, 'money': 2, 'would': 2, 'apologies': 1, 'betting': 1, 'therefore': 1, 'allow': 1, 'ball': 1, 'drop': 1, 'colour': 1, 'hoping': 1, 'obviously': 1, 'lot': 1, 'ever': 1, 'stating': 1, 'wrong': 1, 'feel': 1, 'lucky': 1, 'advertising': 1, 'gets': 1, 'possibly': 1, 'issue': 1, 'still': 1, 'worth': 1, 'obvious': 1, 'win': 1, 'come': 1, 'way': 1, 'window': 1}","{('ever', 'way'): 1, ('stating', 'obvious'): 1, ('betting', 'therefore'): 1, ('therefore', 'allow'): 1, ('allow', 'ball'): 1, ('ball', 'drop'): 1, ('drop', 'colour'): 1, ('colour', 'hoping'): 1, ('hoping', 'obviously'): 1, ('obviously', 'lot'): 1, ('lot', 'know'): 1, ('know', 'apologies'): 1, ('apologies', 'stating'): 1, ('obvious', 'sometimes'): 1, ('wrong', 'know'): 1, ('sometimes', 'feel'): 1, ('feel', 'lucky'): 1, ('lucky', 'sometimes'): 1, ('sometimes', 'advertising'): 1, ('advertising', 'gets'): 1, ('gets', 'possibly'): 1, ('possibly', 'sometimes'): 1, ('sometimes', 'money'): 1, ('money', 'issue'): 1, ('issue', 'still'): 1, ('still', 'worth'): 1, ('know', 'betting'): 1, ('come', 'wrong'): 1, ('way', 'money'): 1, ('uncanny', 'many'): 1}","{('ever', 'way', 'money'): 1, ('apologies', 'stating', 'obvious'): 1, ('know', 'betting', 'therefore'): 1, ('betting', 'therefore', 'allow'): 1, ('therefore', 'allow', 'ball'): 1, ('allow', 'ball', 'drop'): 1, ('ball', 'drop', 'colour'): 1, ('drop', 'colour', 'hoping'): 1, ('colour', 'hoping', 'obviously'): 1, ('hoping', 'obviously', 'lot'): 1, ('obviously', 'lot', 'know'): 1, ('lot', 'know', 'apologies'): 1, ('know', 'apologies', 'stating'): 1, ('stating', 'obvious', 'sometimes'): 1, ('way', 'money', 'window'): 1, ('obvious', 'sometimes', 'feel'): 1, ('sometimes', 'feel', 'lucky'): 1, ('feel', 'lucky', 'sometimes'): 1, ('lucky', 'sometimes', 'advertising'): 1, ('sometimes', 'advertising', 'gets'): 1, ('advertising', 'gets', 'possibly'): 1, ('gets', 'possibly', 'sometimes'): 1, ('possibly', 'sometimes', 'money'): 1, ('sometimes', 'money', 'issue'): 1, ('money', 'issue', 'still'): 1, ('issue', 'still', 'worth'): 1, ('wrong', 'know', 'betting'): 1, ('come', 'wrong', 'know'): 1, ('would', 'come', 'wrong'): 1, ('win', 'would', 'come'): 1}"
0,www.betfair.com,2011,4,"{'prices': 2, 'process': 2, 'betfair': 2, 'like': 2, 'also': 2, 'site': 2, 'good': 2, 'easy': 1, 'spite': 1, 'might': 1, 'believe': 1, 'depositing': 1, 'withdrawing': 1, 'funds': 1, 'something': 1, 'company': 1, 'sport': 1, 'elsewhere': 1, 'brilliant': 1, 'game': 1, 'weak': 1, 'point': 1, 'poker': 1, 'frequently': 1, 'oddschecker': 1, 'available': 1, 'better': 1, 'using': 1, 'feel': 1, 'control': 1}","{('something', 'addictive'): 1, ('prices', 'available'): 1, ('elsewhere', 'frequently'): 1, ('frequently', 'spite'): 1, ('spite', 'betfair'): 1, ('betfair', 'might'): 1, ('might', 'like'): 1, ('like', 'believe'): 1, ('believe', 'process'): 1, ('process', 'depositing'): 1, ('depositing', 'withdrawing'): 1, ('withdrawing', 'funds'): 1, ('funds', 'easy'): 1, ('easy', 'company'): 1, ('company', 'sport'): 1, ('sport', 'site'): 1, ('site', 'brilliant'): 1, ('brilliant', 'game'): 1, ('game', 'site'): 1, ('site', 'good'): 1, ('good', 'weak'): 1, ('weak', 'point'): 1, ('point', 'poker'): 1, ('available', 'elsewhere'): 1, ('better', 'prices'): 1, ('addictive', 'process'): 1, ('ensure', 'better'): 1, ('process', 'using'): 1, ('using', 'betfair'): 1, ('betfair', 'feel'): 1}","{('something', 'addictive', 'process'): 1, ('addictive', 'process', 'using'): 1, ('available', 'elsewhere', 'frequently'): 1, ('elsewhere', 'frequently', 'spite'): 1, ('frequently', 'spite', 'betfair'): 1, ('spite', 'betfair', 'might'): 1, ('betfair', 'might', 'like'): 1, ('might', 'like', 'believe'): 1, ('like', 'believe', 'process'): 1, ('believe', 'process', 'depositing'): 1, ('process', 'depositing', 'withdrawing'): 1, ('depositing', 'withdrawing', 'funds'): 1, ('withdrawing', 'funds', 'easy'): 1, ('funds', 'easy', 'company'): 1, ('easy', 'company', 'sport'): 1, ('company', 'sport', 'site'): 1, ('sport', 'site', 'brilliant'): 1, ('site', 'brilliant', 'game'): 1, ('brilliant', 'game', 'site'): 1, ('game', 'site', 'good'): 1, ('site', 'good', 'weak'): 1, ('good', 'weak', 'point'): 1, ('weak', 'point', 'poker'): 1, ('prices', 'available', 'elsewhere'): 1, ('better', 'prices', 'available'): 1, ('ensure', 'better', 'prices'): 1, ('good', 'prices', 'careful'): 1, ('process', 'using', 'betfair'): 1, ('using', 'betfair', 'feel'): 1, ('betfair', 'feel', 'control'): 1}"
0,www.betfair.com,2011,5,"{'get': 2, 'price': 2, 'account': 2, 'deactivated': 2, 'betfair': 2, 'long': 2, 'odds': 2, 'good': 2, 'use': 2, 'site': 2, 'name': 1, 'even': 1, 'tricky': 1, 'bookmaker': 1, 'better': 1, 'someone': 1, 'willing': 1, 'accept': 1, 'gambling': 1, 'addict': 1, 'fun': 1, 'ultimate': 1, 'learn': 1, 'place': 1, 'usually': 1, 'novice': 1, 'hang': 1, 'simple': 1, 'best': 1, 'go': 1}","{('price', 'long'): 2, ('ultimate', 'betting'): 1, ('addict', 'good'): 1, ('long', 'gambling'): 1, ('accept', 'price'): 1, ('willing', 'accept'): 1, ('someone', 'willing'): 1, ('long', 'someone'): 1, ('name', 'price'): 1, ('even', 'name'): 1, ('bookmaker', 'even'): 1, ('odds', 'bookmaker'): 1, ('better', 'odds'): 1, ('get', 'better'): 1, ('usually', 'get'): 1, ('whatsoever', 'usually'): 1, ('complaints', 'whatsoever'): 1, ('gambling', 'addict'): 1, ('good', 'fun'): 1, ('betfair', 'years'): 1, ('fun', 'tricky'): 1, ('unless', 'flutter'): 1, ('bookies', 'unless'): 1, ('street', 'bookies'): 1, ('high', 'street'): 1, ('traditional', 'high'): 1, ('go', 'traditional'): 1, ('best', 'go'): 1, ('simple', 'best'): 1, ('hang', 'simple'): 1}","{('ultimate', 'betting', 'site'): 1, ('gambling', 'addict', 'good'): 1, ('price', 'long', 'gambling'): 1, ('accept', 'price', 'long'): 1, ('willing', 'accept', 'price'): 1, ('someone', 'willing', 'accept'): 1, ('long', 'someone', 'willing'): 1, ('price', 'long', 'someone'): 1, ('name', 'price', 'long'): 1, ('even', 'name', 'price'): 1, ('bookmaker', 'even', 'name'): 1, ('odds', 'bookmaker', 'even'): 1, ('better', 'odds', 'bookmaker'): 1, ('get', 'better', 'odds'): 1, ('usually', 'get', 'better'): 1, ('whatsoever', 'usually', 'get'): 1, ('complaints', 'whatsoever', 'usually'): 1, ('long', 'gambling', 'addict'): 1, ('addict', 'good', 'fun'): 1, ('betfair', 'years', 'complaints'): 1, ('good', 'fun', 'tricky'): 1, ('bookies', 'unless', 'flutter'): 1, ('street', 'bookies', 'unless'): 1, ('high', 'street', 'bookies'): 1, ('traditional', 'high', 'street'): 1, ('go', 'traditional', 'high'): 1, ('best', 'go', 'traditional'): 1, ('simple', 'best', 'go'): 1, ('hang', 'simple', 'best'): 1, ('get', 'hang', 'simple'): 1}"
0,www.betfair.com,2012,4,"{'date': 1, 'feature': 1, 'away': 1, 'throw': 1, 'else': 1, 'anywhere': 1, 'go': 1, 'would': 1, 'love': 1, 'experience': 1, 'betting': 1, 'use': 1, 'always': 1, 'site': 1, 'great': 1, 'february': 1, 'money': 1}","{('date', 'experience'): 1, ('experience', 'february'): 1, ('february', 'great'): 1, ('great', 'site'): 1, ('site', 'always'): 1, ('always', 'use'): 1, ('use', 'betting'): 1, ('betting', 'love'): 1, ('love', 'feature'): 1, ('feature', 'would'): 1, ('would', 'go'): 1, ('go', 'anywhere'): 1, ('anywhere', 'else'): 1, ('else', 'throw'): 1, ('throw', 'away'): 1, ('away', 'money'): 1}","{('date', 'experience', 'february'): 1, ('experience', 'february', 'great'): 1, ('february', 'great', 'site'): 1, ('great', 'site', 'always'): 1, ('site', 'always', 'use'): 1, ('always', 'use', 'betting'): 1, ('use', 'betting', 'love'): 1, ('betting', 'love', 'feature'): 1, ('love', 'feature', 'would'): 1, ('feature', 'would', 'go'): 1, ('would', 'go', 'anywhere'): 1, ('go', 'anywhere', 'else'): 1, ('anywhere', 'else', 'throw'): 1, ('else', 'throw', 'away'): 1, ('throw', 'away', 'money'): 1}"
0,www.betfair.com,2013,1,"{'poor': 2, 'bonus': 1, 'ui': 1}","{('poor', 'bonus'): 1, ('bonus', 'poor'): 1, ('poor', 'ui'): 1}","{('poor', 'bonus', 'poor'): 1, ('bonus', 'poor', 'ui'): 1}"
0,www.betfair.com,2013,3,"{'jams': 1, 'logs': 1, 'sometimes': 1, 'dont': 1, 'much': 1, 'sport': 1, 'events': 1}","{('jams', 'logs'): 1, ('logs', 'sometimes'): 1, ('sometimes', 'dont'): 1, ('dont', 'much'): 1, ('much', 'sport'): 1, ('sport', 'events'): 1}","{('jams', 'logs', 'sometimes'): 1, ('logs', 'sometimes', 'dont'): 1, ('sometimes', 'dont', 'much'): 1, ('dont', 'much', 'sport'): 1, ('much', 'sport', 'events'): 1}"
0,www.betfair.com,2013,4,"{'role': 2, 'far': 2, 'betting': 2, 'betfair': 2, 'prices': 2, 'reliable': 2, 'make': 2, 'odds': 2, 'cant': 1, 'work': 1, 'dont': 1, 'usually': 1, 'form': 1, 'bigger': 1, 'winnings': 1, 'want': 1, 'take': 1, 'commission': 1, 'drawback': 1, 'perfect': 1, 'unless': 1, 'improving': 1, 'offer': 1, 'better': 1, 'options': 1, 'promotions': 1, 'faster': 1, 'site': 1, 'best': 1, 'mobile': 1}","{('cant', 'go'): 1, ('offer', 'role'): 1, ('unless', 'want'): 1, ('work', 'unless'): 1, ('dont', 'work'): 1, ('make', 'dont'): 1, ('usually', 'make'): 1, ('prices', 'usually'): 1, ('bigger', 'prices'): 1, ('winnings', 'bigger'): 1, ('form', 'winnings'): 1, ('take', 'form'): 1, ('commission', 'take'): 1, ('drawback', 'commission'): 1, ('perfect', 'drawback'): 1, ('would', 'perfect'): 1, ('reliable', 'would'): 1, ('want', 'offer'): 1, ('role', 'better'): 1, ('get', 'servers'): 1, ('better', 'odds'): 1, ('cashout', 'settle'): 1, ('gamechanger', 'cashout'): 1, ('including', 'gamechanger'): 1, ('industry', 'including'): 1, ('apps', 'industry'): 1, ('mobile', 'apps'): 1, ('best', 'mobile'): 1, ('site', 'best'): 1, ('reliable', 'site'): 1}","{('cant', 'go', 'far'): 1, ('want', 'offer', 'role'): 1, ('work', 'unless', 'want'): 1, ('dont', 'work', 'unless'): 1, ('make', 'dont', 'work'): 1, ('usually', 'make', 'dont'): 1, ('prices', 'usually', 'make'): 1, ('bigger', 'prices', 'usually'): 1, ('winnings', 'bigger', 'prices'): 1, ('form', 'winnings', 'bigger'): 1, ('take', 'form', 'winnings'): 1, ('commission', 'take', 'form'): 1, ('drawback', 'commission', 'take'): 1, ('perfect', 'drawback', 'commission'): 1, ('would', 'perfect', 'drawback'): 1, ('reliable', 'would', 'perfect'): 1, ('servers', 'reliable', 'would'): 1, ('unless', 'want', 'offer'): 1, ('offer', 'role', 'better'): 1, ('go', 'far', 'wrong'): 1, ('role', 'better', 'odds'): 1, ('gamechanger', 'cashout', 'settle'): 1, ('including', 'gamechanger', 'cashout'): 1, ('industry', 'including', 'gamechanger'): 1, ('apps', 'industry', 'including'): 1, ('mobile', 'apps', 'industry'): 1, ('best', 'mobile', 'apps'): 1, ('site', 'best', 'mobile'): 1, ('reliable', 'site', 'best'): 1, ('faster', 'reliable', 'site'): 1}"
0,www.betfair.com,2013,5,"{'great': 6, 'betting': 5, 'exchange': 4, 'betfair': 3, 'odds': 2, 'service': 2, 'app': 2, 'feel': 2, 'beats': 2, 'fantastic': 2, 'value': 2, 'easy': 2, 'watching': 2, 'fun': 2, 'trade': 1, 'ca': 1, 'love': 1, 'still': 1, 'wish': 1, 'bets': 1, 'cashout': 1, 'option': 1, 'prices': 1, 'unique': 1, 'offers': 1, 'also': 1, 'competitors': 1, 'super': 1, 'innovating': 1, 'proven': 1}","{('betting', 'easy'): 1, ('fault', 'betfair'): 1, ('service', 'ca'): 1, ('app', 'service'): 1, ('love', 'app'): 1, ('odds', 'love'): 1, ('great', 'odds'): 1, ('service', 'great'): 1, ('fantastic', 'service'): 1, ('wish', 'fantastic'): 1, ('bets', 'wish'): 1, ('cashout', 'bets'): 1, ('trade', 'cashout'): 1, ('option', 'trade'): 1, ('unique', 'option'): 1, ('offers', 'unique'): 1, ('also', 'offers'): 1, ('competitors', 'also'): 1, ('beats', 'competitors'): 1, ('prices', 'beats'): 1, ('value', 'prices'): 1, ('great', 'value'): 1, ('proven', 'great'): 1, ('innovating', 'proven'): 1, ('still', 'innovating'): 1, ('launched', 'still'): 1, ('first', 'launched'): 1, ('betting', 'first'): 1, ('revolutionsed', 'betting'): 1, ('ca', 'fault'): 1}","{('betting', 'easy', 'betfair'): 1, ('great', 'returns', 'revolutionsed'): 1, ('service', 'ca', 'fault'): 1, ('app', 'service', 'ca'): 1, ('love', 'app', 'service'): 1, ('odds', 'love', 'app'): 1, ('great', 'odds', 'love'): 1, ('service', 'great', 'odds'): 1, ('fantastic', 'service', 'great'): 1, ('wish', 'fantastic', 'service'): 1, ('bets', 'wish', 'fantastic'): 1, ('cashout', 'bets', 'wish'): 1, ('trade', 'cashout', 'bets'): 1, ('option', 'trade', 'cashout'): 1, ('unique', 'option', 'trade'): 1, ('offers', 'unique', 'option'): 1, ('also', 'offers', 'unique'): 1, ('competitors', 'also', 'offers'): 1, ('beats', 'competitors', 'also'): 1, ('prices', 'beats', 'competitors'): 1, ('value', 'prices', 'beats'): 1, ('great', 'value', 'prices'): 1, ('proven', 'great', 'value'): 1, ('innovating', 'proven', 'great'): 1, ('still', 'innovating', 'proven'): 1, ('launched', 'still', 'innovating'): 1, ('first', 'launched', 'still'): 1, ('betting', 'first', 'launched'): 1, ('revolutionsed', 'betting', 'first'): 1, ('ca', 'fault', 'betfair'): 1}"
0,www.betfair.com,2014,1,"{'hours': 4, 'told': 3, 'live': 3, 'withdrawal': 3, 'site': 3, 'chat': 3, 'get': 3, 'supervisor': 2, 'got': 2, 'bet': 2, 'back': 2, 'stay': 2, 'email': 2, 'offered': 2, 'processed': 2, 'say': 2, 'clear': 2, 'time': 2, 'withdraw': 1, 'impossible': 1, 'almost': 1, 'properly': 1, 'ended': 1, 'closing': 1, 'situation': 1, 'handle': 1, 'either': 1, 'well': 1, 'accounts': 1, 'friends': 1}","{('live', 'chat'): 2, ('would', 'like'): 1, ('accounts', 'stay'): 1, ('impossible', 'withdraw'): 1, ('almost', 'impossible'): 1, ('properly', 'almost'): 1, ('situation', 'properly'): 1, ('handle', 'situation'): 1, ('supervisor', 'handle'): 1, ('site', 'supervisor'): 1, ('scam', 'site'): 1, ('either', 'scam'): 1, ('site', 'either'): 1, ('clear', 'site'): 1, ('well', 'clear'): 1, ('stay', 'well'): 1, ('friends', 'accounts'): 1, ('winnings', 'worst'): 1, ('along', 'friends'): 1, ('account', 'along'): 1, ('closing', 'account'): 1, ('ended', 'closing'): 1, ('bet', 'ended'): 1, ('winning', 'bet'): 1, ('returned', 'winning'): 1, ('get', 'returned'): 1, ('sportsbook', 'get'): 1, ('bet', 'sportsbook'): 1, ('told', 'bet'): 1, ('keep', 'told'): 1}","{('would', 'like', 'inform'): 1, ('impossible', 'withdraw', 'winnings'): 1, ('properly', 'almost', 'impossible'): 1, ('situation', 'properly', 'almost'): 1, ('handle', 'situation', 'properly'): 1, ('supervisor', 'handle', 'situation'): 1, ('site', 'supervisor', 'handle'): 1, ('scam', 'site', 'supervisor'): 1, ('either', 'scam', 'site'): 1, ('site', 'either', 'scam'): 1, ('clear', 'site', 'either'): 1, ('well', 'clear', 'site'): 1, ('stay', 'well', 'clear'): 1, ('accounts', 'stay', 'well'): 1, ('friends', 'accounts', 'stay'): 1, ('along', 'friends', 'accounts'): 1, ('account', 'along', 'friends'): 1, ('closing', 'account', 'along'): 1, ('ended', 'closing', 'account'): 1, ('bet', 'ended', 'closing'): 1, ('winning', 'bet', 'ended'): 1, ('returned', 'winning', 'bet'): 1, ('get', 'returned', 'winning'): 1, ('sportsbook', 'get', 'returned'): 1, ('bet', 'sportsbook', 'get'): 1, ('told', 'bet', 'sportsbook'): 1, ('keep', 'told', 'bet'): 1, ('asked', 'keep', 'told'): 1, ('declined', 'asked', 'keep'): 1, ('almost', 'impossible', 'withdraw'): 1}"
0,www.betfair.com,2014,4,"{'use': 1, 'recommended': 1}","{('use', 'recommended'): 1}",{}
