,Link,Languages,Types,Crypto Currencies,Other Payments,Community,~AutoDice speed (~10 sec),Global Rank,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,Month change
1,bet365.com,"EN, ES, DE. IT, PT, DK, SV, NO, CN, BG, GR, PL, RO, CS, HU, SK, NL","Casino, Live Casino, Sports, Other",?,"VISA, Maestro, Mastercard, PayPal, PaySafeCard, Skrill, Neteller, Trustly, Bank Transfer, Bank Wire, Cheque",?,-,114,264 800 000,270 200 000,255 000 000,241 100 000,237 400 000,262 600 000,281 900 000,293 500 000,297 100 000,309 700 000,282 100 000,317 000 000,"12,37%"
2,caliente.mx,ES,"Casino, Live Casino, Sports, Other",?,"VISA, Bank Transfer, PaySafeCard, Dinero Mail, Todito Cash",?,-,408,113 400 000,118 600 000,110 600 000,101 000 000,103 000 000,71 870 000,69 200 000,74 220 000,74 300 000,123 500 000,168 500 000,115 800 000,"-31,28%"
3,verajohn.com,"EN, JP, NO, FI, DE, ES, PT","Casino, Live Casino, Other",?,"EcoPayz, Neteller, VISA, Mastercard, Maestro, Skrill, Trustly",?,-,756,12 080 000,23 500 000,31 870 000,25 310 000,43 300 000,39 250 000,43 230 000,60 560 000,62 610 000,66 780 000,89 320 000,79 750 000,"-10,71%"
4,pch.com,EN,"Casino, Other",?,"VISA, Mastercard, Discover",?,-,195,89 740 000,87 670 000,85 700 000,81 470 000,85 360 000,77 020 000,74 160 000,74 920 000,69 370 000,73 360 000,84 210 000,71 970 000,"-14,54%"
5,freebitco.in,EN,"Dice, Sport, Other",BTC,?,?,39,1959,51 060 000,55 200 000,57 390 000,57 080 000,57 490 000,58 910 000,55 890 000,58 930 000,54 140 000,59 970 000,63 200 000,55 160 000,"-12,72%"
6,nesine.com,TR,"Sports, Other",?,Bank Transfer,?,-,867,27 190 000,25 430 000,21 950 000,16 050 000,16 240 000,36 260 000,45 550 000,44 100 000,43 220 000,44 230 000,36 290 000,37 410 000,"3,09%"
7,parimatch.com,"EN, RU","Casino, Live Casino, Sports, E-Sports, Other",BTC,"VISA, Mastercard, E-Banking, Alfa Bank, Promsvyaz Bank, EntroPay, Skrill, Neteller, Qiwi, WebMoney, Perfect Money, ADVcash, Android Bozor, Vodafone, MTS, Tele2, Beeline, Megafon, Payment terminal, TelePay, PayVand, Express Pay, Cash Desk",?,-,1216,21 710 000,21 100 000,20 160 000,20 960 000,22 570 000,26 710 000,27 020 000,31 150 000,30 980 000,35 400 000,37 040 000,36 090 000,"-2,56%"
8,netkeiba.com,JP,Other,?,?,?,-,936,25 350 000,27 540 000,31 580 000,26 300 000,21 160 000,25 950 000,26 760 000,34 130 000,35 880 000,39 800 000,30 440 000,28 770 000,"-5,49%"
9,fdj.fr,FR,Other,?,"Mastercard, VISA, PaySafeCard, PayPal",https://www.fdj.fr/actualite,-,2343,19 810 000,18 000 000,17 720 000,18 160 000,19 030 000,20 110 000,25 320 000,22 080 000,20 770 000,22 940 000,18 490 000,19 680 000,"6,44%"
10,tjk.org,"EN, TR",Other,?,Bank Transfer,?,-,2646,16 200 000,16 060 000,16 430 000,17 770 000,17 900 000,21 760 000,19 460 000,18 560 000,18 090 000,19 740 000,20 930 000,19 250 000,"-8,03%"
11,bovada.lv,"EN, ES, CN","Casino, Live Casino, Sports","BTC, BCH","VISA, Maestro",?,-,2759,11 820 000,10 890 000,9 827 000,8 246 000,6 815 000,10 430 000,16 110 000,15 870 000,17 710 000,16 210 000,14 210 000,18 250 000,"28,43%"
12,hollywoodbets.net,EN,Sports,?,"VISA, Mastercard, Bank Transfer, PayFast",?,-,1560,33 100 000,32 870 000,30 270 000,27 160 000,28 310 000,21 190 000,19 760 000,18 810 000,17 510 000,19 350 000,19 060 000,17 160 000,"-9,97%"
13,stoloto.ru,RU,Other,?,"VISA, Mastercard, MIR, WalletOne, QIWI, Yandex Money, Tinkoff Bank, Yota, AlfaClick, Beeline, MTS, Megafon, Tele2, Payment terminal",https://www.stoloto.ru/press,-,2208,23 220 000,20 070 000,18 730 000,19 500 000,20 060 000,15 070 000,15 800 000,17 010 000,16 700 000,19 960 000,35 860 000,16 540 000,"-53,88%"
14,betfair.com,"EN, DE, DK, GR, ES, IT, PT, RU, SV","Casino, Live Casino, Sports, E-Sports, Other",?,"VISA, Mastercard, Cheque, Bank Transfer, Western Union",?,-,2258,16 290 000,16 470 000,14 310 000,14 480 000,13 830 000,15 640 000,14 550 000,14 880 000,14 920 000,15 390 000,14 730 000,14 800 000,"0,48%"
15,lotto.pl,PL,Other,?,"VISA, Mastercard, DotPay, Blik",https://www.totalizator.pl/firma/aktualnosci,-,3531,14 390 000,14 270 000,15 410 000,14 410 000,15 290 000,14 160 000,12 530 000,12 500 000,12 730 000,13 100 000,14 590 000,13 150 000,"-9,87%"
16,skybet.com,"EN, DE","Sport, E-Sport",?,"PaySafeCard, Sofort, GiroPay, VISA, Mastercard, Neteller, Skrill",?,-,3310,22 640 000,19 260 000,15 820 000,13 300 000,12 860 000,17 090 000,14 820 000,15 590 000,14 750 000,15 370 000,13 100 000,12 260 000,"-6,41%"
17,williamhill.com,"EN, ES, PT, FI, DE, JP, CS, HU, SL, RO, SR, RU, GR, CN, FR, PL","Casino, Live Casino, Sports, E-Sports, Other",?,"VISA, Mastercard, Maestro, Skrill, PayPal, Neteller, WebMoney, Yandex Money, Qiwi, EcoPayz, EPS, Euteller, InstaDebit, Poli, Przelewy24, SafetyPay, Sofort, Trustly, Cash Desk, Todito Cash, PaySafeCard, NeoSurf, Bank Transfer, Cheque",?,-,3345,15 250 000,16 270 000,13 790 000,13 440 000,12 270 000,15 070 000,15 380 000,15 850 000,15 590 000,15 340 000,13 510 000,11 930 000,"-11,70%"
18,lapalingo.com,"EN, NO, PL, FI, DE","Casino, Live Casino, Sports",?,"VISA, Mastercard, Trustly, PaySafeCard, Sofort, EcoPayz, Neteller, Skrill, TrustPay",https://www.lapalingo.com/en/news,-,8248,7 143 000,5 465 000,5 881 000,6 394 000,5 825 000,4 222 000,3 947 000,4 725 000,4 387 000,10 730 000,8 539 000,9 640 000,"12,89%"
19,playamo.com,"RU, EN, DE, NO, FI, PL, FR, PT, ES, CS, ZA, NZ","Casino, Live Casino","BTC, BCH, ETH, DOGE, LTC, USDT","VISA, Mastercard, Maestro, Qiwi, Yandex Money, Skrill, Svyaznoy",?,15 (provider game),9901,441 486,92 891,399 278,375 361,364 496,447 652,564 337,3 604 000,10 350 000,13 380 000,10 270 000,6 391 000,"-37,77%"
